round_number,event_name,tick,user_steamid,user_name,site,haskit,entindex
1,bomb_pickup,65,76561198171814417,Faat,,,
1,bomb_dropped,1248,76561198171814417,Faat,,,176
1,bomb_pickup,1824,76561198274174345,zig,,,
1,bomb_beginplant,5456,76561198274174345,zig,169.0,,
1,bomb_planted,5656,76561198274174345,zig,169.0,,
1,bomb_begindefuse,7215,76561199826895670,RME | Пацан,,False,
1,bomb_defused,7855,76561199826895670,RME | Пацан,169.0,,
2,bomb_pickup,8303,76561198171814417,Faat,,,
2,bomb_dropped,8455,76561198171814417,Faat,,,406
2,bomb_pickup,8462,76561198274174345,zig,,,
2,bomb_dropped,10480,76561198274174345,zig,,,406
2,bomb_pickup,10588,76561198002613044,frees.tyler,,,
2,bomb_beginplant,13612,76561198002613044,frees.tyler,169.0,,
2,bomb_planted,13812,76561198002613044,frees.tyler,169.0,,
3,bomb_pickup,15401,76561198049602148,Moon,,,
3,bomb_dropped,17525,76561198049602148,Moon,,,90
3,bomb_pickup,18314,76561199052717313,Worfy,,,
3,bomb_dropped,18479,76561199052717313,Worfy,,,90
3,bomb_pickup,18869,76561199052717313,Worfy,,,
3,bomb_dropped,19086,76561199052717313,Worfy,,,90
3,bomb_pickup,19428,76561198171814417,Faat,,,
4,bomb_pickup,22873,76561199052717313,Worfy,,,
4,bomb_dropped,24999,76561199052717313,Worfy,,,70
4,bomb_pickup,25142,76561199052717313,Worfy,,,
4,bomb_dropped,25580,76561199052717313,Worfy,,,70
4,bomb_pickup,25813,76561198171814417,Faat,,,
4,bomb_dropped,25855,76561198171814417,Faat,,,70
4,bomb_pickup,26449,76561198171814417,Faat,,,
4,bomb_beginplant,28396,76561198171814417,Faat,168.0,,
4,bomb_planted,28596,76561198171814417,Faat,168.0,,
5,bomb_pickup,29302,76561198274174345,zig,,,
5,bomb_dropped,31047,76561198274174345,zig,,,124
5,bomb_pickup,31497,76561199052717313,Worfy,,,
5,bomb_dropped,31793,76561199052717313,Worfy,,,124
6,bomb_pickup,33975,76561198002613044,frees.tyler,,,
6,bomb_dropped,37514,76561198002613044,frees.tyler,,,348
7,bomb_pickup,40113,76561198171814417,Faat,,,
