round_number,steamid,name,team_number,kills,deaths,assists,damage_dealt,damage_taken,headshot_kills,shots,bomb_plants,bomb_defuses,survived
1,76561199068251294,prosto bo$$,2,0,1,0,46,140,0,8,0,0,False
1,76561199256543526,Wybaczam.oficjalnie skins.army,2,0,1,1,55,183,0,12,0,0,False
1,76561199433997570,Simple Dimple skins.army,2,1,1,2,237,100,1,12,0,0,False
1,76561199557907229,shawty#)$@,2,0,1,1,40,117,0,8,0,0,False
1,76561199826895670,RME | Пацан,2,4,0,0,259,53,1,17,0,1,True
1,76561198002613044,frees.tyler,3,2,1,1,186,104,1,15,0,0,False
1,76561198049602148,Moon,3,0,1,1,84,166,0,10,0,0,False
1,76561198171814417,Faat,3,0,1,0,22,147,0,6,0,0,False
1,76561198274174345,zig,3,2,1,0,281,99,2,23,1,0,False
1,76561199052717313,Worfy,3,0,1,0,20,121,0,16,0,0,False
2,76561199068251294,prosto bo$$,2,1,1,0,87,121,1,10,0,0,False
2,76561199256543526,Wybaczam.oficjalnie skins.army,2,0,1,0,0,267,0,1,0,0,False
2,76561199433997570,Simple Dimple skins.army,2,2,1,0,393,106,2,24,0,0,False
2,76561199557907229,shawty#)$@,2,0,1,0,30,117,0,43,0,0,False
2,76561199826895670,RME | Пацан,2,0,1,1,43,100,0,3,0,0,False
2,76561198002613044,frees.tyler,3,1,0,1,143,30,0,30,1,0,True
2,76561198049602148,Moon,3,2,1,0,136,130,0,30,0,0,False
2,76561198171814417,Faat,3,2,0,1,410,76,1,7,0,0,True
2,76561198274174345,zig,3,0,1,0,0,197,0,3,0,0,False
2,76561199052717313,Worfy,3,0,1,0,22,120,0,2,0,0,False
3,76561199068251294,prosto bo$$,2,1,1,0,155,102,1,13,0,0,False
3,76561199256543526,Wybaczam.oficjalnie skins.army,2,0,1,0,0,110,0,0,0,0,False
3,76561199433997570,Simple Dimple skins.army,2,0,1,0,0,104,0,4,0,0,False
3,76561199557907229,shawty#)$@,2,0,1,0,0,101,0,1,0,0,False
