round_number,start_tick,live_start_tick,end_tick,inferred_round_end_tick,round_end_source,bomb_planted,bomb_defused,bomb_exploded,winner_side,winner_team_number,end_reason,outcome_confidence
1,65,1761,7855,7855.0,bomb_defused,True,True,False,CT,3,bomb_defused,high
2,8303,9583,14953,14953.0,last_valid_death,True,False,False,T,2,elimination,high
3,15401,16681,22425,22425.0,last_valid_death,False,False,False,T,2,elimination,high
4,22873,24153,28854,28854.0,last_valid_death,True,False,False,T,2,elimination,high
5,29302,30582,33527,33527.0,last_valid_death,False,False,False,CT,3,elimination,high
6,33975,35255,39665,39665.0,last_valid_death,False,False,False,CT,3,elimination,high
7,40113,41393,47576,47576.0,bomb_exploded,True,False,True,T,2,bomb_exploded,high
8,48024,49304,55594,55594.0,bomb_defused,True,True,False,CT,3,bomb_defused,high
9,56042,57322,61950,61950.0,bomb_defused,True,True,False,CT,3,bomb_defused,high
10,62398,63678,67752,67752.0,last_valid_death,False,False,False,CT,3,elimination,high
11,68200,69480,75381,75381.0,last_valid_death,True,False,False,T,2,elimination,high
12,75829,77109,85014,,assignment_boundary_fallback,False,False,False,CT,3,time_expired,medium
13,85014,86710,90348,90348.0,last_valid_death,False,False,False,T,2,elimination,high
14,90796,92076,97940,97940.0,bomb_exploded,True,False,True,T,2,bomb_exploded,high
15,98388,99668,104429,104429.0,last_valid_death,True,False,False,T,2,elimination,high
16,104877,106157,111203,111203.0,bomb_exploded,True,False,True,T,2,bomb_exploded,high
17,111651,112931,116070,116070.0,last_valid_death,False,False,False,CT,3,elimination,high
18,116518,117798,123446,123446.0,last_valid_death,False,False,False,T,2,elimination,high
19,123894,125174,128558,128558.0,last_valid_death,False,False,False,CT,3,elimination,high
20,129006,130286,133199,133199.0,bomb_defused,True,True,False,CT,3,bomb_defused,high
21,133647,134927,136580,,assignment_boundary_fallback,False,False,False,CT,3,time_expired,medium
22,136580,137860,143734,143734.0,last_valid_death,True,False,False,T,2,elimination,high
