round_number,prestart_tick,poststart_tick,freeze_end_tick,round_close_tick,assignment_end_tick,inferred_round_end_tick,round_end_source,next_prestart_tick,end_marker_source,timeline_confidence,missing_markers
1,65,65,1761,8303,8303,7855,bomb_defused,8303,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
2,8303,8303,9583,15401,15401,14953,last_valid_death,15401,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
3,15401,15401,16681,22873,22873,22425,last_valid_death,22873,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
4,22873,22873,24153,29302,29302,28854,last_valid_death,29302,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
5,29302,29302,30582,33975,33975,33527,last_valid_death,33975,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
6,33975,33975,35255,40113,40113,39665,last_valid_death,40113,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
7,40113,40113,41393,48024,48024,47576,bomb_exploded,48024,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
8,48024,48024,49304,56042,56042,55764,last_valid_death,56042,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
9,56042,56042,57322,62398,62398,61950,bomb_defused,62398,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
10,62398,62398,63678,68200,68200,67752,last_valid_death,68200,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
11,68200,68200,69480,75829,75829,75381,last_valid_death,75829,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
12,75829,75829,77109,85014,85014,,missing,85014,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
13,85014,85014,86710,90796,90796,90348,last_valid_death,90796,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
14,90796,90796,92076,98388,98388,97940,bomb_exploded,98388,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
15,98388,98388,99668,104877,104877,104429,last_valid_death,104877,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
16,104877,104877,106157,111651,111651,111203,bomb_exploded,111651,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
17,111651,111651,112931,116518,116518,116070,last_valid_death,116518,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
18,116518,116518,117798,123894,123894,123446,last_valid_death,123894,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
19,123894,123894,125174,129006,129006,128558,last_valid_death,129006,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
20,129006,129006,130286,133647,133647,133199,bomb_defused,133647,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
21,133647,133647,134927,136580,136580,,missing,136580,next_prestart_boundary,medium,valid_officially_ended;officially_ended_at_next_prestart
22,136580,136580,137860,143816,,143734,last_valid_death,,cs_win_panel_match,medium,valid_officially_ended
