round_number,tick,user_steamid,user_name,attacker_steamid,attacker_name,assister_steamid,assister_name,weapon,headshot,hitgroup,distance,dmg_health,dmg_armor,noscope,thrusmoke,penetrated,attackerblind,attackerinair,assistedflash,dominated,noreplay,revenge,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
1,2639,76561198171814417,Faat,76561199433997570,Simple Dimple skins.army,,,usp_silencer,True,head,22.95985,118,0,False,False,0,False,False,False,0,True,0,17293822569102704701,0.0,,0
1,2952,76561199068251294,prosto bo$$,76561198274174345,zig,,,glock,True,head,36.738117,75,0,False,False,0,False,False,False,0,True,0,17293822569183117316,50001399269.0,,0
1,3648,76561199433997570,Simple Dimple skins.army,76561198002613044,frees.tyler,,,glock,True,head,32.81986,78,0,False,False,0,False,False,False,0,True,0,17293822569147269124,25021819180.0,,0
1,5758,76561199557907229,shawty#)$@,76561198002613044,frees.tyler,76561198049602148,Moon,glock,False,chest,18.205437,23,0,False,False,0,False,False,False,0,True,0,17293822569147269124,25021819180.0,,0
1,5883,76561198002613044,frees.tyler,76561199826895670,RME | Пацан,76561199557907229,shawty#)$@,usp_silencer,False,chest,11.864964,32,0,False,False,0,False,False,False,0,True,0,17293822569177546813,48893926823.0,,0
1,6329,76561198049602148,Moon,76561199826895670,RME | Пацан,76561199433997570,Simple Dimple skins.army,usp_silencer,True,head,4.18657,136,0,False,False,0,False,False,False,0,True,0,17293822569177546813,48893926823.0,,0
1,6463,76561199052717313,Worfy,76561199826895670,RME | Пацан,76561199433997570,Simple Dimple skins.army,usp_silencer,False,right_arm,12.780837,31,0,False,False,0,False,False,False,0,True,0,17293822569177546813,48893926823.0,,0
1,6970,76561199256543526,Wybaczam.oficjalnie skins.army,76561198274174345,zig,76561198002613044,frees.tyler,glock,True,head,2.22323,116,0,False,False,0,False,False,False,0,True,0,17293822569183117316,50001399269.0,,0
1,7031,76561198274174345,zig,76561199826895670,RME | Пацан,76561199256543526,Wybaczam.oficjalnie skins.army,usp_silencer,False,chest,26.491285,14,7,False,False,0,False,False,False,0,True,0,17293822569177546813,48893926823.0,,0
2,10188,76561199256543526,Wybaczam.oficjalnie skins.army,76561198171814417,Faat,,,ssg08,True,head,69.58968,267,23,False,False,0,False,False,False,0,True,0,17293822569102704680,0.0,,0
