steamid,name,rounds_played,kills,deaths,assists,adr,kast_percent,headshot_percent,opening_kills,opening_deaths,clutch_attempts,clutch_wins
76561199433997570,Simple Dimple skins.army,22,28,18,9,10.77,77.27,35.71,5,1,0,0
76561199826895670,RME | Пацан,22,22,11,5,11.77,86.36,27.27,2,1,1,1
76561198274174345,zig,22,17,15,6,12.77,68.18,47.06,1,4,1,0
76561198002613044,frees.tyler,22,17,15,10,8.45,86.36,41.18,4,1,0,0
76561199068251294,prosto bo$$,22,17,16,6,2.09,77.27,17.65,2,2,0,0
76561198171814417,Faat,22,16,16,4,1.0,59.09,31.25,4,2,0,0
76561199052717313,Worfy,22,12,15,5,0.91,54.55,50.0,0,1,0,0
76561198049602148,Moon,22,10,19,4,3.82,50.0,40.0,0,3,0,0
76561199557907229,shawty#)$@,22,9,12,5,1.82,59.09,77.78,2,3,0,0
76561199256543526,Wybaczam.oficjalnie skins.army,22,7,18,4,2.5,54.55,42.86,2,4,0,0
