entindex,tick,user_name,user_steamid
176,1248,Faat,76561198171814417
406,8455,Faat,76561198171814417
406,10480,zig,76561198274174345
90,17525,Moon,76561198049602148
90,18479,Worfy,76561199052717313
90,19086,Worfy,76561199052717313
70,24999,Worfy,76561199052717313
70,25580,Worfy,76561199052717313
70,25855,Faat,76561198171814417
124,31047,zig,76561198274174345
124,31793,Worfy,76561199052717313
348,37514,frees.tyler,76561198002613044
157,41272,Faat,76561198171814417
403,48427,Moon,76561198049602148
237,63281,zig,76561198274174345
237,66636,frees.tyler,76561198002613044
76,69968,frees.tyler,76561198002613044
153,75966,Faat,76561198171814417
153,76571,Moon,76561198049602148
153,76805,Moon,76561198049602148
438,88034,shawty#)$@,76561199557907229
496,90890,RME | Пацан,76561199826895670
323,103936,Simple Dimple skins.army,76561199433997570
407,113977,prosto bo$$,76561199068251294
407,115660,Simple Dimple skins.army,76561199433997570
496,119824,shawty#)$@,76561199557907229
91,123996,RME | Пацан,76561199826895670
91,124222,prosto bo$$,76561199068251294
91,125462,shawty#)$@,76561199557907229
91,127871,RME | Пацан,76561199826895670
338,136132,Wybaczam.oficjalnie skins.army,76561199256543526
136,136690,prosto bo$$,76561199068251294
136,141319,prosto bo$$,76561199068251294
