tick,user_name,user_steamid
65,Faat,76561198171814417
1824,zig,76561198274174345
8303,Faat,76561198171814417
8462,zig,76561198274174345
10588,frees.tyler,76561198002613044
15401,Moon,76561198049602148
18314,Worfy,76561199052717313
18869,Worfy,76561199052717313
19428,Faat,76561198171814417
22873,Worfy,76561199052717313
25142,Worfy,76561199052717313
25813,Faat,76561198171814417
26449,Faat,76561198171814417
29302,zig,76561198274174345
31497,Worfy,76561199052717313
33975,frees.tyler,76561198002613044
40113,Faat,76561198171814417
41459,zig,76561198274174345
48024,Moon,76561198049602148
49399,zig,76561198274174345
56042,Worfy,76561199052717313
62398,zig,76561198274174345
63361,frees.tyler,76561198002613044
68200,frees.tyler,76561198002613044
70209,frees.tyler,76561198002613044
75829,Faat,76561198171814417
75973,Moon,76561198049602148
76667,Moon,76561198049602148
81500,frees.tyler,76561198002613044
85014,shawty#)$@,76561199557907229
90796,RME | Пацан,76561199826895670
92550,Wybaczam.oficjalnie skins.army,76561199256543526
98388,Simple Dimple skins.army,76561199433997570
104071,RME | Пацан,76561199826895670
104877,Wybaczam.oficjalnie skins.army,76561199256543526
111651,prosto bo$$,76561199068251294
115125,Simple Dimple skins.army,76561199433997570
116518,shawty#)$@,76561199557907229
123894,RME | Пацан,76561199826895670
124033,prosto bo$$,76561199068251294
125664,RME | Пацан,76561199826895670
129006,Simple Dimple skins.army,76561199433997570
133647,Wybaczam.oficjalnie skins.army,76561199256543526
136580,prosto bo$$,76561199068251294
141764,RME | Пацан,76561199826895670
