site,tick,user_name,user_steamid
169,5656,zig,76561198274174345
169,13812,frees.tyler,76561198002613044
168,28596,Faat,76561198171814417
168,44952,zig,76561198274174345
168,53540,zig,76561198274174345
168,61161,Worfy,76561199052717313
169,74224,frees.tyler,76561198002613044
169,95316,Wybaczam.oficjalnie skins.army,76561199256543526
168,104785,RME | Пацан,76561199826895670
169,108579,Wybaczam.oficjalnie skins.army,76561199256543526
169,132169,Simple Dimple skins.army,76561199433997570
169,142695,RME | Пацан,76561199826895670
