entityid,tick,user_name,user_steamid,x,y,z
320,2209,Worfy,76561199052717313,1330.434,783.7136,626.00806
322,2238,Faat,76561198171814417,1442.683,793.2062,752.84033
323,2297,zig,76561198274174345,475.44885,869.5968,386.0279
443,10116,frees.tyler,76561198002613044,1212.4625,674.1198,403.3823
449,10374,frees.tyler,76561198002613044,1172.201,645.3194,402.88217
105,14393,shawty#)$@,76561199557907229,-1717.3894,2583.332,366.5842
438,17250,Moon,76561198049602148,804.6814,538.2735,536.3672
441,17392,Moon,76561198049602148,805.9844,536.9597,537.913
445,17849,Simple Dimple skins.army,76561199433997570,538.92236,639.6818,41.590622
415,17923,frees.tyler,76561198002613044,-1953.5784,1817.6189,82.18231
404,22100,Worfy,76561199052717313,-418.1694,1653.7394,-121.49841
443,24634,zig,76561198274174345,802.81683,543.2883,531.21466
415,24778,zig,76561198274174345,802.62573,534.40967,550.9671
121,24910,Simple Dimple skins.army,76561199433997570,-264.3183,1425.2278,47.480057
138,24998,shawty#)$@,76561199557907229,-2008.825,1530.7131,68.2399
423,26476,Wybaczam.oficjalnie skins.army,76561199256543526,-445.1621,159.98334,1.9397365
73,31240,Wybaczam.oficjalnie skins.army,76561199256543526,-1935.7225,1668.0901,37.758568
292,35849,frees.tyler,76561198002613044,1130.6836,605.53595,398.3132
291,36521,shawty#)$@,76561199557907229,-2004.3235,1521.076,40.343983
132,38427,shawty#)$@,76561199557907229,203.51695,462.02625,11.7570305
139,41831,frees.tyler,76561198002613044,1181.583,654.00134,410.03082
340,42017,frees.tyler,76561198002613044,-264.4714,888.504,212.10278
450,42094,Moon,76561198049602148,-1864.8137,1955.3508,78.64426
116,42156,Simple Dimple skins.army,76561199433997570,-270.01053,1420.172,39.58932
443,42991,shawty#)$@,76561199557907229,-2015.1886,1473.17,33.512978
424,46600,Worfy,76561199052717313,1076.1945,2273.6975,30.125526
414,49904,Moon,76561198049602148,-1960.7217,1812.7081,40.800243
121,50237,frees.tyler,76561198002613044,-119.79182,360.22168,198.54453
118,51455,shawty#)$@,76561199557907229,-531.01135,1063.5945,-31.440556
131,57987,Moon,76561198049602148,-1975.0363,1834.46,25.785038
84,58077,shawty#)$@,76561199557907229,-425.66046,1112.6842,0.64414835
77,58467,frees.tyler,76561198002613044,-1752.4363,2751.6606,40.359016
94,59339,Simple Dimple skins.army,76561199433997570,-498.0809,-458.11142,4.3394227
77,64365,frees.tyler,76561198002613044,-1966.1262,1835.3995,58.815903
415,64536,shawty#)$@,76561199557907229,-2085.4895,1999.2932,16.494858
435,64765,Wybaczam.oficjalnie skins.army,76561199256543526,-1929.8402,1538.6647,45.504265
346,65097,Simple Dimple skins.army,76561199433997570,-376.231,1391.8363,134.73943
104,65800,Moon,76561198049602148,138.34612,1506.5763,169.27028
344,66746,Moon,76561198049602148,465.98212,2016.3015,413.0665
118,69998,frees.tyler,76561198002613044,-506.57947,1060.1353,-58.405533
94,72041,Worfy,76561199052717313,-493.2069,1887.2731,105.518555
424,73843,frees.tyler,76561198002613044,-1135.5635,2294.8562,3.7474725
134,74947,prosto bo$$,76561199068251294,-1449.9784,2282.5278,352.30045
132,78156,Moon,76561198049602148,799.98694,534.4325,527.5647
134,78645,shawty#)$@,76561199557907229,-410.10727,1270.5002,63.242355
121,78727,frees.tyler,76561198002613044,-1937.9701,1802.0864,58.67952
84,79158,Simple Dimple skins.army,76561199433997570,1591.204,1287.7723,238.8776
73,83936,RME | Пацан,76561199826895670,1415.1368,1078.1272,300.8219
82,87198,Wybaczam.oficjalnie skins.army,76561199256543526,1028.2972,453.30392,406.749
176,87242,RME | Пацан,76561199826895670,1259.0508,752.7877,450.58765
486,87292,prosto bo$$,76561199068251294,1285.3967,818.0611,906.9138
343,87382,Wybaczam.oficjalnie skins.army,76561199256543526,1062.9602,390.5288,489.90036
125,87895,Worfy,76561199052717313,-294.86328,1486.124,91.33821
405,88637,frees.tyler,76561198002613044,1240.8729,3077.087,132.88313
464,92686,Moon,76561198049602148,526.85455,686.85455,3.4739816
149,92736,RME | Пацан,76561199826895670,-1827.6783,2115.8801,962.47565
78,92885,Wybaczam.oficjalnie skins.army,76561199256543526,-487.57126,423.942,472.85846
76,93203,shawty#)$@,76561199557907229,-932.9039,2311.614,202.8909
396,100211,zig,76561198274174345,1459.6249,1065.933,-6.105695
104,100279,Wybaczam.oficjalnie skins.army,76561199256543526,-393.30325,897.52484,384.84995
121,101345,Worfy,76561199052717313,-208.04694,1489.3744,5.8511086
485,102138,frees.tyler,76561198002613044,-319.4276,569.1054,17.16002
78,102208,Worfy,76561199052717313,1268.5847,2059.0688,2.2536764
108,106494,shawty#)$@,76561199557907229,-439.50177,-215.39462,7.2955723
414,106692,shawty#)$@,76561199557907229,-384.04572,265.64,17.03953
411,106863,Worfy,76561199052717313,-322.70154,1478.4545,119.09534
454,107363,Wybaczam.oficjalnie skins.army,76561199256543526,-1773.5902,865.1444,523.6638
442,107712,prosto bo$$,76561199068251294,-1822.6119,2614.171,97.53849
148,110358,Wybaczam.oficjalnie skins.army,76561199256543526,-324.60162,1836.3353,28.251324
140,113546,Simple Dimple skins.army,76561199433997570,-223.9439,296.76172,7.7367835
130,114191,shawty#)$@,76561199557907229,-517.3345,936.5742,-28.76284
105,114720,frees.tyler,76561198002613044,-233.65588,483.71136,180.73169
137,118213,Wybaczam.oficjalnie skins.army,76561199256543526,-449.643,798.7801,408.46762
461,118382,Wybaczam.oficjalnie skins.army,76561199256543526,-402.49722,180.75555,45.390457
105,118456,Moon,76561198049602148,-1999.7235,1512.4591,47.05209
323,119069,RME | Пацан,76561199826895670,-1845.2074,2076.1733,914.2329
88,120174,Simple Dimple skins.army,76561199433997570,407.0499,2227.7837,162.91399
133,120359,Worfy,76561199052717313,-2025.088,2226.9265,2.1064744
120,120467,Simple Dimple skins.army,76561199433997570,401.2736,2241.7026,109.33207
83,122282,RME | Пацан,76561199826895670,-477.09912,2574.5713,-27.67036
320,126159,Wybaczam.oficjalnie skins.army,76561199256543526,-403.55936,354.1011,326.1019
440,127266,frees.tyler,76561198002613044,-386.67014,-23.635675,41.90769
324,130942,RME | Пацан,76561199826895670,-1779.1392,2160.656,957.46423
148,131089,Wybaczam.oficjalnie skins.army,76561199256543526,-1813.7588,2053.71,1021.73944
347,131139,Simple Dimple skins.army,76561199433997570,-1990.3176,1877.9272,22.44306
133,131701,Worfy,76561199052717313,-1383.7727,2636.9119,121.011246
88,132085,frees.tyler,76561198002613044,-1996.1304,1870.2723,70.98739
401,138574,Wybaczam.oficjalnie skins.army,76561199256543526,-1808.4526,1976.124,1130.4858
