entityid,tick,user_name,user_steamid,x,y,z
329,3265,frees.tyler,76561198002613044,392.75912,1558.738,82.159546
452,11268,frees.tyler,76561198002613044,372.60364,1453.2986,35.765633
443,17503,Simple Dimple skins.army,76561199433997570,648.7569,526.0735,12.957105
418,19208,frees.tyler,76561198002613044,249.95273,1508.0845,3.4045515
451,21889,Moon,76561198049602148,1289.5416,2441.7288,107.50903
456,21951,Faat,76561198171814417,-463.34424,1811.649,-85.32521
408,26240,Wybaczam.oficjalnie skins.army,76561199256543526,735.29266,-373.55045,27.109798
418,27093,Simple Dimple skins.army,76561199433997570,-13.970224,391.48837,4.1640472
453,32260,Simple Dimple skins.army,76561199433997570,-310.94058,532.9204,9.3870735
129,32340,Moon,76561198049602148,-494.99994,1422.6864,-113.31437
474,33256,Wybaczam.oficjalnie skins.army,76561199256543526,-391.93777,-37.537113,2.7029998
66,36344,shawty#)$@,76561199557907229,-2002.8328,1499.2885,45.36717
139,36413,prosto bo$$,76561199068251294,645.13055,564.23926,7.7628093
403,36419,frees.tyler,76561198002613044,-596.7998,1353.9542,-99.95273
443,37343,Wybaczam.oficjalnie skins.army,76561199256543526,-391.3555,1454.1151,-124.67339
344,42372,shawty#)$@,76561199557907229,-1983.1212,1393.3412,37.145638
113,42443,RME | Пацан,76561199826895670,-2057.8264,1083.7859,55.69662
445,43712,Worfy,76561199052717313,-2013.6742,1085.8331,114.94266
67,47286,zig,76561198274174345,1307.5994,1309.1517,166.06764
143,47446,shawty#)$@,76561199557907229,1125.3733,2903.1248,129.70851
445,49932,frees.tyler,76561198002613044,-433.0471,1564.3805,-121.430336
157,50134,Wybaczam.oficjalnie skins.army,76561199256543526,-191.59009,305.02234,17.347706
350,50735,Worfy,76561199052717313,-381.2472,1370.3198,-93.796394
167,51499,zig,76561198274174345,2.6573324,1575.637,25.272165
433,58664,frees.tyler,76561198002613044,-1835.9015,2799.7578,39.92656
87,59284,RME | Пацан,76561199826895670,-2060.429,1122.2224,64.149414
110,64383,shawty#)$@,76561199557907229,-1992.188,1395.3499,37.16539
420,64750,Simple Dimple skins.army,76561199433997570,-1001.191,1426.1571,-90.9897
156,65409,Wybaczam.oficjalnie skins.army,76561199256543526,-2043.2548,1353.9886,110.90052
403,66605,RME | Пацан,76561199826895670,403.4618,1859.7739,174.45976
473,66647,zig,76561198274174345,-1140.3265,1413.8002,-77.54263
412,72454,prosto bo$$,76561199068251294,-438.87796,1871.0321,-116.99635
431,75276,RME | Пацан,76561199826895670,-1731.4978,2801.3857,136.34192
292,78663,Worfy,76561199052717313,-173.61124,1505.8315,19.535913
148,79041,shawty#)$@,76561199557907229,-205.32819,1253.5453,2.220363
117,79105,zig,76561198274174345,1244.3099,1212.187,5.872444
333,83205,frees.tyler,76561198002613044,139.73375,1363.3447,3.9129086
173,83264,RME | Пацан,76561199826895670,1517.9352,1863.7758,15.092621
477,87309,Moon,76561198049602148,578.4862,722.5961,3.2020555
422,88840,frees.tyler,76561198002613044,937.104,2058.126,75.94159
413,92696,zig,76561198274174345,622.7342,540.0902,9.39682
148,94448,frees.tyler,76561198002613044,-427.32312,1758.3683,-108.02675
289,100253,frees.tyler,76561198002613044,-409.58667,-187.36346,6.7210407
464,100748,Wybaczam.oficjalnie skins.army,76561199256543526,-206.61078,1385.8892,2.9854395
316,107357,Moon,76561198049602148,-2047.0762,1353.3186,50.736862
320,107922,Wybaczam.oficjalnie skins.army,76561199256543526,-1443.3365,2720.1077,72.304184
131,108507,prosto bo$$,76561199068251294,-706.4658,2433.947,32.136097
347,110363,RME | Пацан,76561199826895670,-1927.1697,1133.656,38.96266
146,113929,RME | Пацан,76561199826895670,697.17346,548.0215,5.3508234
344,114184,Simple Dimple skins.army,76561199433997570,34.708706,1497.4105,3.4986334
114,114208,frees.tyler,76561198002613044,-399.50186,-214.19643,12.253751
457,118592,prosto bo$$,76561199068251294,-2036.3406,2366.5806,23.194004
415,118817,Moon,76561198049602148,-2037.4884,1346.4325,39.029427
156,119260,frees.tyler,76561198002613044,-871.51764,1382.5419,-104.62668
123,120235,Worfy,76561199052717313,-2018.6625,1411.5328,44.33097
308,121733,Simple Dimple skins.army,76561199433997570,-1087.8093,1397.9814,-81.41971
322,125402,Wybaczam.oficjalnie skins.army,76561199256543526,-382.59833,853.7314,21.73787
88,125852,Moon,76561198049602148,597.66595,548.91077,3.2880678
328,126278,frees.tyler,76561198002613044,-396.6065,-179.19073,9.708402
414,128114,Worfy,76561199052717313,-113.35417,-779.9148,19.558123
453,131384,Faat,76561198171814417,-1991.9877,1896.2323,22.744516
123,132026,zig,76561198274174345,-1693.2407,2773.8496,166.78253
149,132513,frees.tyler,76561198002613044,-1631.2744,2669.5366,61.78768
173,135726,frees.tyler,76561198002613044,-14.219063,378.89334,49.50968
98,138843,frees.tyler,76561198002613044,-393.0845,-61.55984,4.8920755
418,139439,Moon,76561198049602148,-2105.8708,1086.601,49.981514
457,139476,Simple Dimple skins.army,76561199433997570,-98.49695,1596.9143,11.097026
485,139848,zig,76561198274174345,-892.0681,1407.5364,-79.20234
122,141085,Worfy,76561199052717313,-2025.2247,1180.3511,143.92047
96,141317,Faat,76561198171814417,-395.2266,1529.5428,-124.180176
324,142440,prosto bo$$,76561199068251294,-1185.9961,2530.3345,113.34429
