canzoom,defindex,hassilencer,hastracers,ispainted,issilenced,item,tick,user_name,user_steamid,weptype
False,0,False,True,True,False,glock,26,zig,76561198274174345,1
False,0,False,False,False,False,knife,36,zig,76561198274174345,0
False,0,False,False,False,False,knife,39,prosto bo$$,76561199068251294,0
False,0,False,False,True,False,knife,54,Worfy,76561199052717313,0
False,0,False,True,True,False,glock,59,Moon,76561198049602148,1
False,0,False,False,True,False,knife,65,frees.tyler,76561198002613044,0
False,0,False,True,True,False,glock,65,frees.tyler,76561198002613044,1
False,0,False,False,False,False,knife,65,Moon,76561198049602148,0
False,0,False,True,True,False,glock,65,Moon,76561198049602148,1
False,0,False,False,False,False,knife,65,Faat,76561198171814417,0
False,0,False,True,True,False,glock,65,Faat,76561198171814417,1
False,0,False,False,False,False,knife,65,zig,76561198274174345,0
False,0,False,True,True,False,glock,65,zig,76561198274174345,1
False,0,False,False,True,False,knife,65,Worfy,76561199052717313,0
False,0,False,True,True,False,glock,65,Worfy,76561199052717313,1
False,0,False,False,False,False,knife,65,prosto bo$$,76561199068251294,0
False,0,True,True,True,True,hkp2000,65,prosto bo$$,76561199068251294,1
False,0,False,False,False,False,knife,65,Wybaczam.oficjalnie skins.army,76561199256543526,0
False,0,True,True,False,True,hkp2000,65,Wybaczam.oficjalnie skins.army,76561199256543526,1
False,0,False,False,False,False,knife,65,Simple Dimple skins.army,76561199433997570,0
False,0,True,True,False,True,hkp2000,65,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,knife,65,shawty#)$@,76561199557907229,0
False,0,True,True,True,True,hkp2000,65,shawty#)$@,76561199557907229,1
False,0,False,False,True,False,knife,65,RME | Пацан,76561199826895670,0
False,0,True,True,True,True,hkp2000,65,RME | Пацан,76561199826895670,1
False,0,False,False,False,False,c4,65,Faat,76561198171814417,7
False,0,False,False,False,False,knife,643,Simple Dimple skins.army,76561199433997570,0
False,0,True,True,False,True,hkp2000,645,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,knife,688,Simple Dimple skins.army,76561199433997570,0
False,0,False,False,False,False,knife,724,shawty#)$@,76561199557907229,0
False,0,False,True,True,False,p250,724,shawty#)$@,76561199557907229,1
False,0,False,False,False,False,knife,727,zig,76561198274174345,0
False,0,False,False,True,False,knife,751,RME | Пацан,76561199826895670,0
False,0,False,True,True,False,glock,767,zig,76561198274174345,1
False,0,False,False,False,False,knife,775,zig,76561198274174345,0
False,0,False,False,False,False,knife,799,Wybaczam.oficjalnie skins.army,76561199256543526,0
False,0,True,True,False,True,hkp2000,805,Wybaczam.oficjalnie skins.army,76561199256543526,1
False,0,False,False,False,False,knife,805,shawty#)$@,76561199557907229,0
False,0,False,False,False,False,knife,808,Wybaczam.oficjalnie skins.army,76561199256543526,0
False,0,True,True,False,True,hkp2000,811,Wybaczam.oficjalnie skins.army,76561199256543526,1
False,0,False,False,False,False,knife,812,Wybaczam.oficjalnie skins.army,76561199256543526,0
False,0,True,True,False,True,hkp2000,815,Wybaczam.oficjalnie skins.army,76561199256543526,1
False,0,False,False,False,False,knife,817,Wybaczam.oficjalnie skins.army,76561199256543526,0
False,0,True,True,False,True,hkp2000,819,Wybaczam.oficjalnie skins.army,76561199256543526,1
False,0,False,False,False,False,knife,822,Wybaczam.oficjalnie skins.army,76561199256543526,0
False,0,True,True,False,True,hkp2000,883,Wybaczam.oficjalnie skins.army,76561199256543526,1
False,0,False,False,False,False,knife,885,Wybaczam.oficjalnie skins.army,76561199256543526,0
False,0,True,True,False,True,hkp2000,889,Wybaczam.oficjalnie skins.army,76561199256543526,1
False,0,False,False,False,False,knife,892,Wybaczam.oficjalnie skins.army,76561199256543526,0
