defindex,item,silent,tick,user_name,user_steamid
516,knife,False,65,frees.tyler,76561198002613044
4,glock,False,65,frees.tyler,76561198002613044
59,knife,False,65,Moon,76561198049602148
4,glock,False,65,Moon,76561198049602148
59,knife,False,65,Faat,76561198171814417
4,glock,False,65,Faat,76561198171814417
59,knife,False,65,zig,76561198274174345
4,glock,False,65,zig,76561198274174345
516,knife,False,65,Worfy,76561199052717313
4,glock,False,65,Worfy,76561199052717313
42,knife,False,65,prosto bo$$,76561199068251294
61,hkp2000,False,65,prosto bo$$,76561199068251294
42,knife,False,65,Wybaczam.oficjalnie skins.army,76561199256543526
61,hkp2000,False,65,Wybaczam.oficjalnie skins.army,76561199256543526
42,knife,False,65,Simple Dimple skins.army,76561199433997570
61,hkp2000,False,65,Simple Dimple skins.army,76561199433997570
42,knife,False,65,shawty#)$@,76561199557907229
61,hkp2000,False,65,shawty#)$@,76561199557907229
518,knife,False,65,RME | Пацан,76561199826895670
61,hkp2000,False,65,RME | Пацан,76561199826895670
49,c4,False,65,Faat,76561198171814417
50,vest,False,680,zig,76561198274174345
36,p250,False,724,shawty#)$@,76561199557907229
50,vest,False,867,Wybaczam.oficjalnie skins.army,76561199256543526
43,flashbang,False,972,Faat,76561198171814417
45,smokegrenade,False,1024,Faat,76561198171814417
44,hegrenade,False,1254,frees.tyler,76561198002613044
43,flashbang,False,1279,frees.tyler,76561198002613044
45,smokegrenade,False,1304,frees.tyler,76561198002613044
48,incgrenade,False,1320,prosto bo$$,76561199068251294
45,smokegrenade,False,1694,Worfy,76561199052717313
43,flashbang,False,1740,Worfy,76561199052717313
43,flashbang,False,1741,zig,76561198274174345
49,c4,False,1824,zig,76561198274174345
45,smokegrenade,False,3288,zig,76561198274174345
516,knife,False,8303,frees.tyler,76561198002613044
4,glock,False,8303,frees.tyler,76561198002613044
59,knife,False,8303,Moon,76561198049602148
4,glock,False,8303,Moon,76561198049602148
59,knife,False,8303,Faat,76561198171814417
4,glock,False,8303,Faat,76561198171814417
59,knife,False,8303,zig,76561198274174345
4,glock,False,8303,zig,76561198274174345
516,knife,False,8303,Worfy,76561199052717313
4,glock,False,8303,Worfy,76561199052717313
42,knife,False,8303,prosto bo$$,76561199068251294
61,hkp2000,False,8303,prosto bo$$,76561199068251294
42,knife,False,8303,Wybaczam.oficjalnie skins.army,76561199256543526
61,hkp2000,False,8303,Wybaczam.oficjalnie skins.army,76561199256543526
42,knife,False,8303,Simple Dimple skins.army,76561199433997570
61,hkp2000,False,8303,Simple Dimple skins.army,76561199433997570
42,knife,False,8303,shawty#)$@,76561199557907229
61,hkp2000,False,8303,shawty#)$@,76561199557907229
49,c4,False,8303,Faat,76561198171814417
51,vesthelm,False,8375,shawty#)$@,76561199557907229
9,awp,False,8397,RME | Пацан,76561199826895670
50,vest,False,8427,RME | Пацан,76561199826895670
49,c4,False,8462,zig,76561198274174345
51,vesthelm,False,8512,frees.tyler,76561198002613044
17,mac10,False,8535,frees.tyler,76561198002613044
40,ssg08,False,8539,Wybaczam.oficjalnie skins.army,76561199256543526
51,vesthelm,False,8548,prosto bo$$,76561199068251294
43,flashbang,False,8563,frees.tyler,76561198002613044
51,vesthelm,False,8575,Wybaczam.oficjalnie skins.army,76561199256543526
45,smokegrenade,False,8578,frees.tyler,76561198002613044
44,hegrenade,False,8593,frees.tyler,76561198002613044
34,mp9,False,8594,shawty#)$@,76561199557907229
60,m4a1,False,8599,prosto bo$$,76561199068251294
48,incgrenade,False,8619,shawty#)$@,76561199557907229
1,deagle,False,8629,RME | Пацан,76561199826895670
45,smokegrenade,False,8634,shawty#)$@,76561199557907229
43,flashbang,False,8657,shawty#)$@,76561199557907229
45,smokegrenade,False,8660,RME | Пацан,76561199826895670
51,vesthelm,False,8672,Simple Dimple skins.army,76561199433997570
40,ssg08,False,8673,Faat,76561198171814417
43,flashbang,False,8681,frees.tyler,76561198002613044
51,vesthelm,False,8700,Faat,76561198171814417
60,m4a1,False,8767,Simple Dimple skins.army,76561199433997570
1,deagle,False,8827,Worfy,76561199052717313
61,hkp2000,False,8964,Simple Dimple skins.army,76561199433997570
61,hkp2000,False,9203,shawty#)$@,76561199557907229
30,tec9,False,9245,Moon,76561198049602148
4,glock,False,9493,Moon,76561198049602148
51,vesthelm,False,9518,Moon,76561198049602148
33,mp7,False,9581,Moon,76561198049602148
43,flashbang,False,9609,Moon,76561198049602148
45,smokegrenade,False,9625,Moon,76561198049602148
50,vest,False,9897,zig,76561198274174345
30,tec9,False,10009,zig,76561198274174345
