attacker_name,attacker_steamid,blind_duration,entityid,tick,user_name,user_steamid
Worfy,76561199052717313,3.7277052,320,2209,prosto bo$$,76561199068251294
Faat,76561198171814417,3.274582,322,2238,prosto bo$$,76561199068251294
Faat,76561198171814417,1.8983434,322,2238,Simple Dimple skins.army,76561199433997570
frees.tyler,76561198002613044,1.3854984,443,10116,prosto bo$$,76561199068251294
frees.tyler,76561198002613044,3.648409,443,10116,Simple Dimple skins.army,76561199433997570
frees.tyler,76561198002613044,3.194339,449,10374,prosto bo$$,76561199068251294
frees.tyler,76561198002613044,3.8437347,449,10374,Simple Dimple skins.army,76561199433997570
shawty#)$@,76561199557907229,4.2418633,105,14393,Faat,76561198171814417
shawty#)$@,76561199557907229,2.6620123,105,14393,Moon,76561198049602148
shawty#)$@,76561199557907229,0.56629246,105,14393,Simple Dimple skins.army,76561199433997570
shawty#)$@,76561199557907229,1.855883,105,14393,frees.tyler,76561198002613044
Moon,76561198049602148,0.5096244,438,17250,Simple Dimple skins.army,76561199433997570
Moon,76561198049602148,3.0695589,438,17250,zig,76561198274174345
Moon,76561198049602148,3.413078,441,17392,Simple Dimple skins.army,76561199433997570
Moon,76561198049602148,0.29072556,441,17392,zig,76561198274174345
Moon,76561198049602148,3.647638,441,17392,RME | Пацан,76561199826895670
Simple Dimple skins.army,76561199433997570,5.13615,445,17849,Moon,76561198049602148
Simple Dimple skins.army,76561199433997570,0.76919633,445,17849,Simple Dimple skins.army,76561199433997570
Worfy,76561199052717313,1.0351287,404,22100,Worfy,76561199052717313
Worfy,76561199052717313,4.52861,404,22100,Faat,76561198171814417
zig,76561198274174345,3.4381835,443,24634,prosto bo$$,76561199068251294
zig,76561198274174345,0.29837593,443,24634,Moon,76561198049602148
zig,76561198274174345,0.5957696,443,24634,frees.tyler,76561198002613044
zig,76561198274174345,0.90749294,415,24778,Worfy,76561199052717313
zig,76561198274174345,3.779816,415,24778,prosto bo$$,76561199068251294
zig,76561198274174345,3.2850306,415,24778,RME | Пацан,76561199826895670
Simple Dimple skins.army,76561199433997570,0.99349195,121,24910,Simple Dimple skins.army,76561199433997570
shawty#)$@,76561199557907229,0.74753964,138,24998,Wybaczam.oficjalnie skins.army,76561199256543526
