attacker_slot,damage,hit_group,is_kill,penetration_count,round,tick,victim_pos_x,victim_pos_y,victim_pos_z,victim_slot
5,29,2,False,0,1,2587,1092.7017,643.4985,6.032107,0
0,22,2,False,0,1,2623,1331.1813,1492.2104,-2.7257228,5
5,118,1,True,0,1,2639,1123.7759,612.9651,6.551627,0
5,31,2,False,0,1,2733,1222.0237,910.4126,-0.4229551,4
9,28,2,False,0,1,2765,1226.2998,907.2869,-0.39517552,4
5,31,5,False,0,1,2771,1215.9414,908.8226,-0.4662957,4
5,28,2,False,0,1,2847,1298.1897,517.94635,60.865395,1
3,13,7,False,0,1,2874,1595.162,1985.5131,-4.9015446,9
9,16,3,False,0,1,2878,1160.866,550.8871,7.49359,3
4,21,2,False,0,1,2892,1637.683,1973.1276,1.0312519,9
3,18,2,False,0,1,2904,1649.2059,1961.299,1.03125,9
3,14,6,False,0,1,2937,1659.5928,1922.5022,0.59429646,9
3,76,1,True,0,1,2952,1664.8265,1903.3174,0.60393953,9
1,56,1,False,0,1,3307,1225.4534,2863.3723,127.324005,8
3,15,2,False,0,1,3585,1255.4823,3004.384,128.31912,8
2,79,1,True,0,1,3648,1002.1243,2334.2502,26.029692,5
2,24,2,False,0,1,5717,-451.4661,1671.4329,-125.06008,8
8,40,3,False,0,1,5728,-340.86212,2423.9346,-87.623726,2
2,23,2,True,0,1,5758,-481.5014,1721.8533,-122.659035,8
2,25,2,False,0,1,5861,-311.47208,2024.3226,-126.91873,7
7,32,2,False,0,1,5872,-554.4931,2420.2944,-93.231766,2
7,32,2,True,0,1,5883,-584.2647,2408.489,-97.014,2
1,29,2,False,0,1,6325,-1067.7501,2224.6372,-16.298292,7
7,136,1,True,0,1,6329,-1181.6648,2118.3223,41.03125,1
7,32,5,True,0,1,6463,-1287.1443,2683.8916,130.03125,4
6,22,3,False,0,1,6929,-1884.0281,1814.0312,18.82756,3
3,17,3,False,0,1,6936,-1949.8427,1800.2368,81.93965,6
6,17,2,False,0,1,6940,-1884.5636,1817.5386,19.208609,3
3,14,2,False,0,1,6947,-1958.515,1800.5509,53.04017,6
6,17,2,False,0,1,6962,-1892.5061,1841.4015,18.237501,3
3,117,1,True,0,1,6970,-1980.8562,1796.6984,33.03125,6
7,15,2,False,0,1,6997,-1900.6096,1816.5042,30.625933,3
7,15,2,True,0,1,7031,-1932.5602,1814.0629,33.031246,3
4,22,4,False,1,2,10136,1435.3507,1164.8257,-10.140923,9
0,267,1,True,0,2,10188,-414.7346,2142.636,-127.32513,6
7,43,2,False,0,2,11102,-583.1408,1833.4344,-118.781876,1
1,16,2,False,0,2,11108,-470.1311,2232.586,-119.93369,7
1,17,2,False,0,2,11113,-469.94357,2230.1396,-120.21404,7
1,17,2,False,0,2,11118,-473.8927,2230.6301,-120.157166,7
1,16,2,False,0,2,11128,-482.6104,2232.4434,-119.948715,7
1,21,3,False,0,2,11133,-486.01138,2233.104,-119.872765,7
1,17,2,True,0,2,11139,-486.69138,2233.2341,-119.85781,7
5,24,2,False,0,2,11429,194.3207,1364.469,-0.055946194,3
5,24,2,False,0,2,11442,211.48926,1358.1832,0.0533627,3
5,30,3,False,0,2,11449,211.76465,1358.1285,0.0549489,3
5,120,1,True,0,2,11468,194.20262,1365.5773,-0.060552053,3
5,120,1,True,0,2,11578,206.88055,1393.9087,-0.13560939,4
5,76,1,False,0,2,12665,-431.06433,26.350218,-1.0246642,0
0,70,2,False,0,2,12670,-78.21509,1531.3224,0.89023733,5
1,17,2,False,0,2,14264,-373.85825,2213.5803,-123.1764,5
1,21,3,True,0,2,14279,-408.81723,2222.651,-121.66579,5
9,87,1,True,0,2,14423,-357.40903,2134.743,-128.1993,1
2,62,1,False,0,2,14700,-1410.3658,2767.2646,119.55752,8
8,15,5,False,0,2,14718,-1494.4977,2695.738,9.359334,2
2,21,7,False,0,2,14719,-1441.7719,2810.3728,56.548172,8
2,16,2,False,0,2,14724,-1451.907,2816.2725,32.213787,8
8,15,4,False,0,2,14727,-1516.0077,2704.7551,7.5616264,2
2,20,6,True,0,2,14739,-1468.2598,2825.2737,7.8895245,8
2,13,5,False,0,2,14935,-1547.6211,2100.891,-2.5454621,9
2,13,2,False,0,2,14944,-1574.8662,2096.022,-4.6284804,9
0,73,2,True,0,3,14953,-1577.0016,2095.778,-4.738932,9
7,29,3,False,0,3,17339,539.0875,682.3611,1.4024262,3
3,21,7,False,0,3,17343,1332.2686,1178.0706,-3.4737692,7
7,24,2,False,0,3,17345,539.0875,682.3611,1.4024262,3
7,23,2,False,0,3,17352,539.0875,682.3611,1.4024262,3
7,24,2,True,0,3,17358,539.0875,682.3611,1.4024262,3
2,14,2,False,0,3,17544,-1680.6085,690.6352,31.460526,6
2,15,4,False,0,3,17549,-1683.4879,672.5304,32.050137,6
2,14,2,False,0,3,17553,-1685.5509,659.8834,32.061306,6
2,15,2,False,0,3,17558,-1686.2623,655.62054,32.06516,6
2,19,3,False,0,3,17625,-1626.7545,662.83624,80.279274,6
2,18,3,False,0,3,17629,-1620.5841,666.4114,71.34529,6
2,19,3,True,0,3,17634,-1613.6967,670.40204,57.189053,6
4,27,2,False,0,3,18057,38.103367,427.89813,-1.1672385,8
4,28,2,False,0,3,18064,48.722916,424.5581,-1.2555492,8
1,26,5,False,0,3,18068,656.9274,754.9019,0.7322912,5
4,34,3,True,0,3,18070,52.225136,423.8645,-1.2680341,8
1,26,2,False,0,3,18074,657.9451,756.15204,0.72611636,5
1,26,2,False,0,3,18081,659.91235,759.0841,0.713903,5
1,26,2,True,0,3,18100,664.4126,767.5809,0.6849796,5
2,11,2,False,0,3,20280,-1253.4951,2680.1003,127.02248,9
9,131,1,True,0,3,20296,-278.69928,2058.2954,-127.55463,2
9,7,2,False,1,3,20731,-152.66167,1037.4135,1.3888427,0
4,27,5,False,0,3,21073,1274.3556,2587.7012,147.15602,7
9,18,2,False,1,3,21520,-179.00781,1007.0089,1.5652764,0
0,71,2,False,0,3,21622,-536.2999,1941.188,-119.30525,9
7,30,3,False,0,3,22135,1407.0315,1740.644,-7.9409924,1
7,30,3,False,0,3,22141,1414.7979,1730.4242,-7.869006,1
1,120,1,True,0,3,22148,1088.0435,2458.7048,96.1034,7
1,21,2,True,0,4,22425,-193.59021,2136.4382,-126.526665,9
9,18,3,False,0,4,24739,661.13904,846.80457,-0.05039224,2
9,19,3,False,0,4,24759,660.7175,848.72687,-0.07125664,2
2,21,6,False,0,4,24764,1447.6731,901.84607,-9.14975,9
9,19,3,False,0,4,24764,726.1081,818.8913,0.03840666,1
2,28,3,False,0,4,24769,1450.3715,881.471,-9.856558,9
9,15,2,False,0,4,24769,729.3513,820.9914,0.03125,1
2,29,3,False,0,4,24775,1451.4895,872.1339,-10.218791,9
9,15,2,False,0,4,24775,660.7175,848.72687,-0.07125664,2
9,19,3,False,0,4,24780,660.7168,848.73486,-0.071350574,2
9,15,2,False,0,4,24785,660.7175,848.72687,-0.07125664,2
7,27,3,False,0,4,24787,730.6469,821.8323,0.03125,1
7,24,6,False,0,4,24793,730.6469,821.8323,0.03125,1
9,19,3,True,0,4,24800,730.6469,821.8323,0.03125,1
2,28,3,True,0,4,24850,1456.7019,765.9576,-15.912116,9
7,22,2,True,0,4,24874,662.87933,916.34,-0.4212279,2
5,63,1,False,1,4,25465,-84.860954,308.16586,1.7072164,0
0,86,2,False,0,4,25480,-154.28235,679.9223,2.0312486,5
7,22,2,False,0,4,25851,668.196,802.65894,0.44699907,3
3,27,2,False,0,4,25866,1033.0612,884.56476,-0.008708872,7
3,27,2,False,0,4,25872,1030.3186,891.1576,-0.05301106,7
3,142,1,True,0,4,25878,1029.638,892.8711,-0.06559749,7
0,69,2,False,0,4,26170,-225.40552,1411.8291,32.03125,8
0,289,1,True,0,4,26806,-190.51578,480.9264,-0.9405688,6
0,68,2,True,0,4,27614,1107.718,2840.7876,127.03125,8
0,83,2,True,0,5,28854,314.5896,1869.3345,97.34272,5
0,48,5,False,1,5,31325,-395.35968,2423.4683,-90.03777,9
9,43,2,False,1,5,31336,-416.8041,-556.9772,1.4563849,0
6,12,2,False,0,5,31451,-1220.6582,1113.9622,18.80479,2
6,13,2,False,0,5,31460,-1212.6628,1115.4283,14.596219,2
6,13,2,False,0,5,31464,-1211.7252,1115.7612,14.068791,2
5,87,1,False,0,5,31567,-148.31036,380.79657,-1.2931249,3
5,22,2,True,0,5,31592,-192.5721,378.46542,-1.3346236,3
9,66,2,True,0,5,31642,-437.74316,-586.50385,1.8066568,0
2,27,2,False,0,5,31694,-134.45068,1310.6853,0.069807895,5
2,27,2,False,0,5,31701,-131.65768,1310.6797,0.12599641,5
2,27,2,False,0,5,31720,-131.94023,1310.6813,0.120312124,5
5,27,3,False,0,5,31808,-827.8577,1499.2651,-109.06727,2
5,24,7,False,0,5,31813,-827.8577,1499.2651,-109.06727,2
5,22,2,True,0,5,31819,-827.8577,1499.2651,-109.06727,2
5,87,1,False,0,5,32357,-129.36096,308.04565,1.759367,1
1,107,1,True,0,5,32365,-133.98798,1308.4524,0.07911865,5
8,16,2,True,0,5,32475,-51.279655,316.53732,0.82264227,1
8,15,2,False,0,5,32576,-26.681475,315.86563,0.83302546,4
4,43,3,False,0,5,32589,-317.01938,834.9271,-4.6995754,8
4,44,3,False,0,5,32595,-300.1284,841.2555,-6.2816696,8
8,16,2,False,0,5,32635,-22.81027,319.22137,0.48725885,4
8,13,3,False,1,5,32646,-19.660624,320.863,0.31810623,4
9,72,2,True,0,6,33527,178.25533,177.18768,8.031252,4
6,31,3,False,0,6,36108,-1409.9364,1135.0422,34.94171,3
3,27,2,False,0,6,36114,-1085.892,1117.7089,-40.01815,6
6,26,2,False,0,6,36115,-1403.834,1126.8802,34.987335,3
6,26,2,False,0,6,36121,-1401.0981,1122.6038,35.01817,3
6,25,2,True,0,6,36127,-1400.9845,1122.4396,35.019226,3
1,26,5,False,0,6,36245,-130.89043,1350.9481,-0.030168388,5
5,27,2,False,0,6,37293,-449.82935,1228.4338,-112.440056,4
5,34,3,False,0,6,37300,-458.93753,1224.0187,-110.14244,4
5,28,2,False,0,6,37306,-463.51407,1221.2798,-108.440475,4
5,27,2,True,0,6,37312,-465.65002,1219.6951,-107.559074,4
5,27,2,False,0,6,37483,-275.6724,1337.0466,-122.76446,2
5,35,3,False,0,6,37501,-288.7273,1313.3937,-123.083405,2
2,35,3,False,0,6,37503,-248.51152,1513.114,32.078938,5
5,28,5,False,0,6,37508,-295.74255,1312.5972,-123.35912,2
2,34,3,False,0,6,37509,-249.02748,1510.4125,32.04419,5
