assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,Simple Dimple skins.army,76561199433997570,False,False,22.95985,0,118,0,True,head,True,False,0,0,False,2639,Faat,76561198171814417,usp_silencer,17293822569102704701,0,,0
False,,,zig,76561198274174345,False,False,36.738117,0,75,0,True,head,True,False,0,0,False,2952,prosto bo$$,76561199068251294,glock,17293822569183117316,50001399269,,0
False,,,frees.tyler,76561198002613044,False,False,32.81986,0,78,0,True,head,True,False,0,0,False,3648,Simple Dimple skins.army,76561199433997570,glock,17293822569147269124,25021819180,,0
False,Moon,76561198049602148,frees.tyler,76561198002613044,False,False,18.205437,0,23,0,False,chest,True,False,0,0,False,5758,shawty#)$@,76561199557907229,glock,17293822569147269124,25021819180,,0
False,shawty#)$@,76561199557907229,RME | Пацан,76561199826895670,False,False,11.864964,0,32,0,False,chest,True,False,0,0,False,5883,frees.tyler,76561198002613044,usp_silencer,17293822569177546813,48893926823,,0
False,Simple Dimple skins.army,76561199433997570,RME | Пацан,76561199826895670,False,False,4.18657,0,136,0,True,head,True,False,0,0,False,6329,Moon,76561198049602148,usp_silencer,17293822569177546813,48893926823,,0
False,Simple Dimple skins.army,76561199433997570,RME | Пацан,76561199826895670,False,False,12.780837,0,31,0,False,right_arm,True,False,0,0,False,6463,Worfy,76561199052717313,usp_silencer,17293822569177546813,48893926823,,0
False,frees.tyler,76561198002613044,zig,76561198274174345,False,False,2.22323,0,116,0,True,head,True,False,0,0,False,6970,Wybaczam.oficjalnie skins.army,76561199256543526,glock,17293822569183117316,50001399269,,0
False,Wybaczam.oficjalnie skins.army,76561199256543526,RME | Пацан,76561199826895670,False,False,26.491285,7,14,0,False,chest,True,False,0,0,False,7031,zig,76561198274174345,usp_silencer,17293822569177546813,48893926823,,0
False,,,Faat,76561198171814417,False,False,69.58968,23,267,0,True,head,True,False,0,0,False,10188,Wybaczam.oficjalnie skins.army,76561199256543526,ssg08,17293822569102704680,0,,0
False,,,Moon,76561198049602148,False,False,10.444322,5,16,0,False,chest,True,False,0,0,False,11139,RME | Пацан,76561199826895670,mp7,17293822569178923041,50452325421,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,20.327105,0,119,0,True,head,True,False,0,0,False,11468,zig,76561198274174345,m4a1_silencer,17293822569102704700,0,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,19.552633,0,120,0,True,head,True,False,0,0,False,11578,Worfy,76561199052717313,m4a1_silencer,17293822569102704700,0,,0
False,Faat,76561198171814417,Moon,76561198049602148,False,False,10.120926,6,20,0,False,stomach,True,False,0,0,False,14279,Simple Dimple skins.army,76561199433997570,mp7,17293822569178923041,50452325421,,0
False,RME | Пацан,76561199826895670,prosto bo$$,76561199068251294,False,False,11.703095,18,87,0,True,head,True,False,0,0,False,14423,Moon,76561198049602148,m4a1_silencer,17293822569182855228,51295554118,,0
False,,,frees.tyler,76561198002613044,False,False,3.250716,0,20,0,False,left_leg,True,False,0,0,False,14739,shawty#)$@,76561199557907229,mac10,17293822569178988561,50532359085,,0
False,frees.tyler,76561198002613044,Faat,76561198171814417,False,False,14.21014,6,73,0,False,chest,True,False,0,0,False,14953,prosto bo$$,76561199068251294,ssg08,17293822569102704680,0,,0
False,,,RME | Пацан,76561199826895670,False,False,23.767092,5,23,0,False,chest,True,False,0,0,False,17358,zig,76561198274174345,m4a1_silencer,17293822569176760380,48972392351,,0
False,,,frees.tyler,76561198002613044,False,False,4.2225676,6,18,0,False,stomach,True,False,0,0,False,17634,Wybaczam.oficjalnie skins.army,76561199256543526,mp9,17293822569102704674,0,,0
False,,,Worfy,76561199052717313,False,False,11.907332,4,34,0,False,stomach,True,False,0,0,False,18070,shawty#)$@,76561199557907229,ak47,17293822569102704647,0,,0
False,,,Moon,76561198049602148,False,False,4.3252506,5,26,0,False,chest,True,False,0,0,False,18100,Simple Dimple skins.army,76561199433997570,m4a1_silencer,17293822569182855228,51295554118,,0
False,,,prosto bo$$,76561199068251294,False,False,30.033592,4,131,0,True,head,True,False,0,0,False,20296,frees.tyler,76561198002613044,deagle,17293822569180626945,51295931445,,0
False,Worfy,76561199052717313,Moon,76561198049602148,False,False,20.567318,0,119,0,True,head,True,False,0,0,False,22148,RME | Пацан,76561199826895670,m4a1_silencer,17293822569182855228,51295554118,,0
False,Faat,76561198171814417,Moon,76561198049602148,False,False,50.323936,4,20,0,False,chest,True,False,0,0,False,22425,prosto bo$$,76561199068251294,m4a1_silencer,17293822569182855228,51295554118,,0
False,RME | Пацан,76561199826895670,prosto bo$$,76561199068251294,True,False,18.341335,5,19,0,False,stomach,True,False,0,0,False,24800,Moon,76561198049602148,mp7,17293822569189605409,50975605314,,0
True,zig,76561198274174345,frees.tyler,76561198002613044,False,False,20.52289,4,28,0,False,stomach,True,False,0,0,False,24850,prosto bo$$,76561199068251294,galilar,17293822569122168845,41570684571,,0
False,prosto bo$$,76561199068251294,RME | Пацан,76561199826895670,False,False,23.240185,4,21,0,False,chest,True,False,0,0,False,24874,frees.tyler,76561198002613044,m4a1,17293822569188753424,50237415404,,0
False,,,zig,76561198274174345,False,False,9.397642,0,141,0,True,head,True,False,0,0,True,25878,RME | Пацан,76561199826895670,ak47,17293822569177612295,49702775582,,0
False,,,Faat,76561198171814417,False,False,21.097914,25,289,0,True,head,True,False,0,0,False,26806,Wybaczam.oficjalnie skins.army,76561199256543526,ssg08,17293822569102704680,0,,0
False,,,Faat,76561198171814417,False,False,58.267437,6,68,0,False,chest,True,False,0,0,True,27614,shawty#)$@,76561199557907229,ssg08,17293822569102704680,0,,0
False,,,Faat,76561198171814417,False,False,35.29679,0,83,0,False,chest,True,False,0,0,False,28854,Simple Dimple skins.army,76561199433997570,ssg08,17293822569102704680,0,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,23.73074,4,21,0,False,chest,True,False,0,0,False,31592,zig,76561198274174345,m4a1,17293822569153822736,48371858539,,0
False,,,prosto bo$$,76561199068251294,False,False,76.500626,5,66,0,False,chest,True,False,0,0,False,31642,Faat,76561198171814417,ssg08,17293822569193078824,51295549993,,0
False,Wybaczam.oficjalnie skins.army,76561199256543526,Simple Dimple skins.army,76561199433997570,False,False,19.162504,4,22,0,False,chest,True,False,0,0,True,31819,frees.tyler,76561198002613044,m4a1,17293822569153822736,48371858539,,0
False,frees.tyler,76561198002613044,Moon,76561198049602148,False,False,25.414543,15,107,0,True,head,True,False,0,0,False,32365,Simple Dimple skins.army,76561199433997570,ak47,17293822569182527495,51292187414,,0
False,Simple Dimple skins.army,76561199433997570,shawty#)$@,76561199557907229,False,False,17.57712,7,15,0,False,chest,True,False,0,0,False,32475,Moon,76561198049602148,usp_silencer,17293822569157099581,51295857618,,0
False,shawty#)$@,76561199557907229,prosto bo$$,76561199068251294,False,False,23.137428,6,72,0,False,chest,True,False,0,0,False,33527,Worfy,76561199052717313,ssg08,17293822569193078824,51295549993,,0
False,,,Wybaczam.oficjalnie skins.army,76561199256543526,False,False,8.027354,5,25,0,False,chest,True,False,0,0,False,36127,zig,76561198274174345,m4a1_silencer,17293822569102704700,0,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,9.732645,3,27,0,False,chest,True,False,0,0,False,37312,Worfy,76561199052717313,ak47,17293822569179447303,50574625224,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,6.524948,4,27,0,False,chest,True,False,0,0,False,37514,frees.tyler,76561198002613044,ak47,17293822569179447303,50574625224,,0
False,zig,76561198274174345,Moon,76561198049602148,False,False,13.463116,15,109,0,True,head,True,False,0,0,False,38262,Wybaczam.oficjalnie skins.army,76561199256543526,ak47,17293822569182527495,51292187414,,0
False,,,RME | Пацан,76561199826895670,False,False,23.302565,15,107,0,True,head,True,False,0,0,False,38413,Moon,76561198049602148,ak47,17293822569102704647,0,,0
False,,,RME | Пацан,76561199826895670,False,False,27.55638,3,26,0,False,chest,True,False,0,0,False,39665,Faat,76561198171814417,ak47,17293822569102704647,0,,0
False,,,RME | Пацан,76561199826895670,False,False,28.895514,0,112,0,False,chest,True,False,0,0,False,42077,Moon,76561198049602148,awp,17293822569147990025,51296712194,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,13.069862,15,109,0,True,head,True,False,0,0,False,42232,frees.tyler,76561198002613044,ak47,17293822569179447303,50574625224,,0
False,,,Wybaczam.oficjalnie skins.army,76561199256543526,False,False,10.259215,4,22,0,False,chest,True,False,0,0,False,42469,Faat,76561198171814417,m4a1,17293822569188753424,49664811853,,0
False,Faat,76561198171814417,Worfy,76561199052717313,False,False,7.8603673,5,14,0,False,right_arm,True,False,0,0,False,42565,Wybaczam.oficjalnie skins.army,76561199256543526,mac10,17293822569102704657,0,,0
False,,,zig,76561198274174345,False,False,11.333666,5,13,0,False,right_arm,True,False,0,0,False,42768,Simple Dimple skins.army,76561199433997570,mac10,17293822569183248401,49437947720,,0
False,,,zig,76561198274174345,False,False,18.3498,5,27,0,False,stomach,True,False,0,0,False,43575,prosto bo$$,76561199068251294,m4a1,17293822569188753424,49664811853,,0
False,Worfy,76561199052717313,zig,76561198274174345,False,False,59.302456,3,15,0,False,right_arm,True,False,1,0,False,47342,shawty#)$@,76561199557907229,m4a1,17293822569188753424,49664811853,,0
False,,,,,False,False,0.0,95,572,0,False,generic,False,False,0,0,False,47576,RME | Пацан,76561199826895670,planted_c4,,,,0
False,,,,,False,False,0.0,0,310,0,False,generic,False,False,0,0,False,47576,Worfy,76561199052717313,planted_c4,,,,0
False,,,frees.tyler,76561198002613044,False,False,21.733568,16,45,0,True,head,True,False,0,0,False,50726,Wybaczam.oficjalnie skins.army,76561199256543526,mac10,17293822569178988561,50532359085,,0
False,RME | Пацан,76561199826895670,prosto bo$$,76561199068251294,False,False,23.253752,1,137,0,False,stomach,True,False,0,0,False,51892,Moon,76561198049602148,awp,17293822569154347017,51295546662,,0
False,Wybaczam.oficjalnie skins.army,76561199256543526,Simple Dimple skins.army,76561199433997570,False,False,13.888095,1,110,0,False,chest,True,False,0,0,False,52379,frees.tyler,76561198002613044,awp,17293822569149759497,51434300216,,0
False,zig,76561198274174345,Faat,76561198171814417,False,False,33.37289,0,83,0,False,chest,True,False,0,0,False,52727,Simple Dimple skins.army,76561199433997570,ssg08,17293822569102704680,0,,0
False,,,shawty#)$@,76561199557907229,False,False,8.571995,0,94,0,True,head,True,False,0,0,False,53560,Worfy,76561199052717313,mp9,17293822569102704674,0,,0
False,,,shawty#)$@,76561199557907229,False,False,9.783097,18,56,0,True,head,True,False,0,0,False,54191,zig,76561198274174345,mp9,17293822569102704674,0,,0
False,,,Faat,76561198171814417,False,False,47.436802,24,277,0,True,head,True,False,0,0,False,54577,shawty#)$@,76561199557907229,ssg08,17293822569102704680,0,,0
False,,,prosto bo$$,76561199068251294,False,False,56.44277,1,107,0,False,chest,True,False,0,0,False,55764,Faat,76561198171814417,awp,17293822569154347017,51295546662,,0
False,,,prosto bo$$,76561199068251294,False,False,74.39002,1,105,0,False,right_arm,True,False,0,0,False,57734,Faat,76561198171814417,awp,17293822569154347017,51295546662,,0
False,,,RME | Пацан,76561199826895670,False,False,57.60296,5,428,0,True,head,True,False,0,0,True,58439,zig,76561198274174345,awp,17293822569149759497,51434300216,,0
False,,,prosto bo$$,76561199068251294,False,False,28.981747,1,109,0,False,chest,True,False,0,0,False,58467,Moon,76561198049602148,awp,17293822569154347017,51295546662,,0
False,,,prosto bo$$,76561199068251294,False,False,25.336054,1,109,0,False,chest,True,False,0,0,False,58690,frees.tyler,76561198002613044,awp,17293822569154347017,51295546662,,0
False,,,Worfy,76561199052717313,False,False,9.192632,6,171,0,True,head,True,False,0,0,False,59297,Simple Dimple skins.army,76561199433997570,deagle,17293822569136062465,49432086315,,0
False,,,shawty#)$@,76561199557907229,False,False,12.934894,0,18,0,False,stomach,True,False,1,0,False,61493,Worfy,76561199052717313,ak47,17293822569177612295,49702775582,,0
False,,,Faat,76561198171814417,False,False,7.659183,20,68,0,True,head,True,False,0,0,True,64947,shawty#)$@,76561199557907229,mp7,17293822569193537569,50785472842,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,8.058474,0,187,0,True,head,True,False,0,0,False,65849,Worfy,76561199052717313,deagle,17293822569196421121,51429013570,,0
False,,,Moon,76561198049602148,False,False,6.9647336,16,110,0,True,head,True,False,0,0,False,65908,Simple Dimple skins.army,76561199433997570,ak47,17293822569182527495,51292187414,,0
False,,,Wybaczam.oficjalnie skins.army,76561199256543526,False,False,5.1781106,16,110,0,True,head,True,False,0,0,False,66293,Faat,76561198171814417,ak47,17293822569182527495,51292187414,,0
False,Simple Dimple skins.army,76561199433997570,Wybaczam.oficjalnie skins.army,76561199256543526,False,False,12.526917,15,109,0,True,head,True,False,0,0,False,66636,frees.tyler,76561198002613044,ak47,17293822569182527495,51292187414,,0
False,frees.tyler,76561198002613044,zig,76561198274174345,False,False,36.674774,36,55,0,False,generic,True,False,0,0,False,66647,Wybaczam.oficjalnie skins.army,76561199256543526,hegrenade,,,,0
False,,,RME | Пацан,76561199826895670,False,False,22.617329,1,110,0,False,chest,True,False,0,0,False,66871,Moon,76561198049602148,awp,17293822569149759497,51434300216,,0
False,,,RME | Пацан,76561199826895670,False,False,28.746536,1,109,0,False,chest,True,False,0,0,False,67752,zig,76561198274174345,awp,17293822569149759497,51434300216,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,18.799604,0,7,0,False,right_leg,True,False,0,0,False,70673,shawty#)$@,76561199557907229,m4a1,17293822569153822736,48371858539,,0
False,shawty#)$@,76561199557907229,prosto bo$$,76561199068251294,False,False,14.8078,3,6,0,False,stomach,True,False,0,0,False,70950,Simple Dimple skins.army,76561199433997570,usp_silencer,17293822569157099581,51295857618,,0
False,Moon,76561198049602148,Worfy,76561199052717313,False,False,16.50713,1,49,0,False,stomach,True,False,0,0,False,72233,Wybaczam.oficjalnie skins.army,76561199256543526,deagle,17293822569136062465,49432086315,,0
False,,,prosto bo$$,76561199068251294,False,False,14.5897045,0,113,0,False,right_arm,True,False,0,0,False,72728,Moon,76561198049602148,awp,17293822569154347017,51295546662,,0
False,,,RME | Пацан,76561199826895670,False,False,25.739307,0,112,0,False,chest,True,False,0,0,False,74244,zig,76561198274174345,awp,17293822569149759497,51434300216,,0
False,,,Faat,76561198171814417,False,False,63.843266,5,67,0,False,chest,True,False,0,0,False,75189,RME | Пацан,76561199826895670,ssg08,17293822569102704680,0,,0
False,Worfy,76561199052717313,frees.tyler,76561198002613044,False,False,14.223956,26,47,0,True,head,True,False,0,0,False,75381,prosto bo$$,76561199068251294,glock,17293822569147269124,25021819180,,0
False,,,frees.tyler,76561198002613044,False,False,6.713378,16,110,0,True,head,True,False,0,0,False,78457,Wybaczam.oficjalnie skins.army,76561199256543526,ak47,17293822569179447303,50574625224,,0
False,,,shawty#)$@,76561199557907229,False,False,61.152817,5,427,0,True,head,True,False,0,0,False,79961,Faat,76561198171814417,awp,17293822569179381769,48893977021,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,7.5784593,5,25,0,False,chest,True,False,0,0,False,80234,Worfy,76561199052717313,m4a1_silencer,17293822569176760380,48972392351,,0
False,shawty#)$@,76561199557907229,Simple Dimple skins.army,76561199433997570,False,False,10.882872,5,25,0,False,chest,True,False,0,0,False,80277,Moon,76561198049602148,m4a1_silencer,17293822569176760380,48972392351,,0
False,,,zig,76561198274174345,False,False,39.038567,0,104,0,True,head,True,False,0,0,False,88034,shawty#)$@,76561199557907229,usp_silencer,17293822569180430397,49438171302,,0
False,prosto bo$$,76561199068251294,Simple Dimple skins.army,76561199433997570,False,False,26.005665,0,21,0,False,chest,True,False,0,0,False,88255,Moon,76561198049602148,glock,17293822569191636996,51091142243,,0
False,,,Worfy,76561199052717313,False,False,29.172773,0,112,0,True,head,True,False,0,0,True,88395,Wybaczam.oficjalnie skins.army,76561199256543526,usp_silencer,17293822569110241341,44537865541,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,30.435598,0,81,0,True,head,True,False,0,0,False,88428,zig,76561198274174345,glock,17293822569191636996,51091142243,,0
False,zig,76561198274174345,Worfy,76561199052717313,False,False,34.99683,0,27,0,False,chest,True,False,0,0,True,88631,prosto bo$$,76561199068251294,usp_silencer,17293822569110241341,44537865541,,0
False,,,RME | Пацан,76561199826895670,False,False,23.169617,0,22,0,False,chest,True,False,0,0,False,89470,frees.tyler,76561198002613044,glock,17293822569102901252,49658502755,,0
False,Simple Dimple skins.army,76561199433997570,RME | Пацан,76561199826895670,False,False,42.095,0,70,0,True,head,True,False,0,0,False,90150,Faat,76561198171814417,glock,17293822569102901252,49658502755,,0
False,frees.tyler,76561198002613044,Worfy,76561199052717313,False,False,18.793535,0,121,0,True,head,True,False,0,0,False,90340,RME | Пацан,76561199826895670,usp_silencer,17293822569110241341,44537865541,,0
False,prosto bo$$,76561199068251294,Simple Dimple skins.army,76561199433997570,False,False,17.573502,0,96,0,True,head,True,False,0,0,False,90348,Worfy,76561199052717313,glock,17293822569191636996,51091142243,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,68.18903,0,108,0,False,left_arm,True,False,0,0,False,92291,Worfy,76561199052717313,awp,17293822569149759497,51434300216,,0
False,shawty#)$@,76561199557907229,prosto bo$$,76561199068251294,False,False,28.477797,0,33,0,True,head,True,False,1,0,False,93170,Faat,76561198171814417,galilar,17293822569102704653,0,,0
