tick,user_name,user_steamid
1840,Worfy,76561199052717313
1895,Wybaczam.oficjalnie skins.army,76561199256543526
1896,shawty#)$@,76561199557907229
1935,shawty#)$@,76561199557907229
1943,RME | Пацан,76561199826895670
1954,prosto bo$$,76561199068251294
1959,frees.tyler,76561198002613044
1984,shawty#)$@,76561199557907229
1993,RME | Пацан,76561199826895670
2025,frees.tyler,76561198002613044
2029,Simple Dimple skins.army,76561199433997570
2083,Simple Dimple skins.army,76561199433997570
2085,Simple Dimple skins.army,76561199433997570
2090,shawty#)$@,76561199557907229
2097,Worfy,76561199052717313
2127,Faat,76561198171814417
2250,Simple Dimple skins.army,76561199433997570
2254,RME | Пацан,76561199826895670
2418,RME | Пацан,76561199826895670
2459,RME | Пацан,76561199826895670
2519,RME | Пацан,76561199826895670
2586,RME | Пацан,76561199826895670
2719,Wybaczam.oficjalnie skins.army,76561199256543526
2733,shawty#)$@,76561199557907229
2791,shawty#)$@,76561199557907229
2812,Moon,76561198049602148
2851,Wybaczam.oficjalnie skins.army,76561199256543526
2858,RME | Пацан,76561199826895670
2877,Moon,76561198049602148
2915,RME | Пацан,76561199826895670
2916,RME | Пацан,76561199826895670
3047,Worfy,76561199052717313
3074,Wybaczam.oficjalnie skins.army,76561199256543526
3117,Simple Dimple skins.army,76561199433997570
3155,Simple Dimple skins.army,76561199433997570
3164,Wybaczam.oficjalnie skins.army,76561199256543526
3191,RME | Пацан,76561199826895670
3201,Simple Dimple skins.army,76561199433997570
3247,Wybaczam.oficjalnie skins.army,76561199256543526
3304,Simple Dimple skins.army,76561199433997570
3341,zig,76561198274174345
3418,Simple Dimple skins.army,76561199433997570
3426,RME | Пацан,76561199826895670
3457,RME | Пацан,76561199826895670
3495,Moon,76561198049602148
3500,Simple Dimple skins.army,76561199433997570
3501,RME | Пацан,76561199826895670
4182,RME | Пацан,76561199826895670
4247,RME | Пацан,76561199826895670
4250,Worfy,76561199052717313
4356,Worfy,76561199052717313
4456,zig,76561198274174345
4512,zig,76561198274174345
4641,RME | Пацан,76561199826895670
4692,RME | Пацан,76561199826895670
4783,RME | Пацан,76561199826895670
4808,Wybaczam.oficjalnie skins.army,76561199256543526
4904,shawty#)$@,76561199557907229
4937,Worfy,76561199052717313
4997,Moon,76561198049602148
5023,shawty#)$@,76561199557907229
5101,shawty#)$@,76561199557907229
5196,shawty#)$@,76561199557907229
5216,RME | Пацан,76561199826895670
5241,shawty#)$@,76561199557907229
5247,Worfy,76561199052717313
5293,shawty#)$@,76561199557907229
5313,Worfy,76561199052717313
5340,Worfy,76561199052717313
5509,Worfy,76561199052717313
5548,shawty#)$@,76561199557907229
5630,RME | Пацан,76561199826895670
5656,shawty#)$@,76561199557907229
5784,zig,76561198274174345
6110,Worfy,76561199052717313
6194,Worfy,76561199052717313
6674,RME | Пацан,76561199826895670
6698,Wybaczam.oficjalnie skins.army,76561199256543526
6753,Wybaczam.oficjalnie skins.army,76561199256543526
6799,Wybaczam.oficjalnie skins.army,76561199256543526
6820,RME | Пацан,76561199826895670
6866,RME | Пацан,76561199826895670
7078,RME | Пацан,76561199826895670
7112,RME | Пацан,76561199826895670
7171,RME | Пацан,76561199826895670
7999,RME | Пацан,76561199826895670
8034,RME | Пацан,76561199826895670
8087,RME | Пацан,76561199826895670
8278,RME | Пацан,76561199826895670
9639,Faat,76561198171814417
9644,Worfy,76561199052717313
9675,shawty#)$@,76561199557907229
9705,Worfy,76561199052717313
9732,Faat,76561198171814417
9762,RME | Пацан,76561199826895670
9764,Worfy,76561199052717313
9811,RME | Пацан,76561199826895670
9821,shawty#)$@,76561199557907229
9849,Simple Dimple skins.army,76561199433997570
9858,Moon,76561198049602148
9869,shawty#)$@,76561199557907229
9870,prosto bo$$,76561199068251294
9995,shawty#)$@,76561199557907229
10005,frees.tyler,76561198002613044
10014,Moon,76561198049602148
10031,prosto bo$$,76561199068251294
10039,shawty#)$@,76561199557907229
10056,RME | Пацан,76561199826895670
10116,zig,76561198274174345
10139,RME | Пацан,76561199826895670
10182,RME | Пацан,76561199826895670
10242,RME | Пацан,76561199826895670
10256,frees.tyler,76561198002613044
10266,zig,76561198274174345
10303,zig,76561198274174345
10356,zig,76561198274174345
10365,shawty#)$@,76561199557907229
10404,shawty#)$@,76561199557907229
10456,shawty#)$@,76561199557907229
10497,shawty#)$@,76561199557907229
10631,Moon,76561198049602148
10633,RME | Пацан,76561199826895670
10637,shawty#)$@,76561199557907229
10673,RME | Пацан,76561199826895670
10684,shawty#)$@,76561199557907229
10722,Simple Dimple skins.army,76561199433997570
10729,RME | Пацан,76561199826895670
10772,Simple Dimple skins.army,76561199433997570
10818,Simple Dimple skins.army,76561199433997570
10857,shawty#)$@,76561199557907229
10866,Moon,76561198049602148
10924,shawty#)$@,76561199557907229
11009,Simple Dimple skins.army,76561199433997570
11043,Simple Dimple skins.army,76561199433997570
11079,Simple Dimple skins.army,76561199433997570
11233,Worfy,76561199052717313
11573,shawty#)$@,76561199557907229
11625,prosto bo$$,76561199068251294
11805,prosto bo$$,76561199068251294
12038,Simple Dimple skins.army,76561199433997570
12100,Simple Dimple skins.army,76561199433997570
12186,prosto bo$$,76561199068251294
12290,prosto bo$$,76561199068251294
12308,shawty#)$@,76561199557907229
12781,prosto bo$$,76561199068251294
12884,Simple Dimple skins.army,76561199433997570
12940,Simple Dimple skins.army,76561199433997570
12953,shawty#)$@,76561199557907229
12991,Simple Dimple skins.army,76561199433997570
13016,Faat,76561198171814417
13060,Simple Dimple skins.army,76561199433997570
13078,prosto bo$$,76561199068251294
13089,shawty#)$@,76561199557907229
13099,Simple Dimple skins.army,76561199433997570
13160,Simple Dimple skins.army,76561199433997570
13174,shawty#)$@,76561199557907229
13308,prosto bo$$,76561199068251294
13359,Simple Dimple skins.army,76561199433997570
13433,prosto bo$$,76561199068251294
13460,frees.tyler,76561198002613044
13475,Faat,76561198171814417
