tick,user_name,user_steamid
65,frees.tyler,76561198002613044
65,Moon,76561198049602148
65,Faat,76561198171814417
65,zig,76561198274174345
65,Worfy,76561199052717313
65,prosto bo$$,76561199068251294
65,Wybaczam.oficjalnie skins.army,76561199256543526
65,Simple Dimple skins.army,76561199433997570
65,shawty#)$@,76561199557907229
65,RME | Пацан,76561199826895670
8303,frees.tyler,76561198002613044
8303,Moon,76561198049602148
8303,Faat,76561198171814417
8303,zig,76561198274174345
8303,Worfy,76561199052717313
8303,prosto bo$$,76561199068251294
8303,Wybaczam.oficjalnie skins.army,76561199256543526
8303,Simple Dimple skins.army,76561199433997570
8303,shawty#)$@,76561199557907229
8303,RME | Пацан,76561199826895670
15401,frees.tyler,76561198002613044
15401,Moon,76561198049602148
15401,Faat,76561198171814417
15401,zig,76561198274174345
15401,Worfy,76561199052717313
15401,prosto bo$$,76561199068251294
15401,Wybaczam.oficjalnie skins.army,76561199256543526
15401,Simple Dimple skins.army,76561199433997570
15401,shawty#)$@,76561199557907229
15401,RME | Пацан,76561199826895670
22873,frees.tyler,76561198002613044
22873,Moon,76561198049602148
22873,Faat,76561198171814417
22873,zig,76561198274174345
22873,Worfy,76561199052717313
22873,prosto bo$$,76561199068251294
22873,Wybaczam.oficjalnie skins.army,76561199256543526
22873,Simple Dimple skins.army,76561199433997570
22873,shawty#)$@,76561199557907229
22873,RME | Пацан,76561199826895670
29302,frees.tyler,76561198002613044
29302,Moon,76561198049602148
29302,Faat,76561198171814417
29302,zig,76561198274174345
29302,Worfy,76561199052717313
29302,prosto bo$$,76561199068251294
29302,Wybaczam.oficjalnie skins.army,76561199256543526
29302,Simple Dimple skins.army,76561199433997570
29302,shawty#)$@,76561199557907229
29302,RME | Пацан,76561199826895670
33975,frees.tyler,76561198002613044
33975,Moon,76561198049602148
33975,Faat,76561198171814417
33975,zig,76561198274174345
33975,Worfy,76561199052717313
33975,prosto bo$$,76561199068251294
33975,Wybaczam.oficjalnie skins.army,76561199256543526
33975,Simple Dimple skins.army,76561199433997570
33975,shawty#)$@,76561199557907229
33975,RME | Пацан,76561199826895670
40113,frees.tyler,76561198002613044
40113,Moon,76561198049602148
40113,Faat,76561198171814417
40113,zig,76561198274174345
40113,Worfy,76561199052717313
40113,prosto bo$$,76561199068251294
40113,Wybaczam.oficjalnie skins.army,76561199256543526
40113,Simple Dimple skins.army,76561199433997570
40113,shawty#)$@,76561199557907229
40113,RME | Пацан,76561199826895670
48024,frees.tyler,76561198002613044
48024,Moon,76561198049602148
48024,Faat,76561198171814417
48024,zig,76561198274174345
48024,Worfy,76561199052717313
48024,prosto bo$$,76561199068251294
48024,Wybaczam.oficjalnie skins.army,76561199256543526
48024,Simple Dimple skins.army,76561199433997570
48024,shawty#)$@,76561199557907229
48024,RME | Пацан,76561199826895670
56042,frees.tyler,76561198002613044
56042,Moon,76561198049602148
56042,Faat,76561198171814417
56042,zig,76561198274174345
56042,Worfy,76561199052717313
56042,prosto bo$$,76561199068251294
56042,Wybaczam.oficjalnie skins.army,76561199256543526
56042,Simple Dimple skins.army,76561199433997570
56042,shawty#)$@,76561199557907229
56042,RME | Пацан,76561199826895670
62398,frees.tyler,76561198002613044
62398,Moon,76561198049602148
62398,Faat,76561198171814417
62398,zig,76561198274174345
62398,Worfy,76561199052717313
62398,prosto bo$$,76561199068251294
62398,Wybaczam.oficjalnie skins.army,76561199256543526
62398,Simple Dimple skins.army,76561199433997570
62398,shawty#)$@,76561199557907229
62398,RME | Пацан,76561199826895670
68200,frees.tyler,76561198002613044
68200,Moon,76561198049602148
68200,Faat,76561198171814417
68200,zig,76561198274174345
68200,Worfy,76561199052717313
68200,prosto bo$$,76561199068251294
68200,Wybaczam.oficjalnie skins.army,76561199256543526
