num_wins,rank_change,rank_new,rank_old,rank_type_id,tick,user_name,user_steamid
74,-428.0,8131,8559,11,143684,Faat,76561198171814417
91,-558.0,7842,8400,11,143684,Moon,76561198049602148
149,-405.0,8243,8648,11,143684,frees.tyler,76561198002613044
127,-404.0,8846,9250,11,143684,zig,76561198274174345
50,-124.0,7725,7849,11,143684,Worfy,76561199052717313
139,364.0,12649,12285,11,143684,Simple Dimple skins.army,76561199433997570
99,215.0,4725,4510,11,143684,Wybaczam.oficjalnie skins.army,76561199256543526
13,371.0,8660,8289,11,143684,RME | Пацан,76561199826895670
8,0.0,0,0,11,143684,shawty#)$@,76561199557907229
11,376.0,9840,9464,11,143684,prosto bo$$,76561199068251294
