name,tick,value
think_limit,-1,0
think_limit,-1,0
mp_friendlyfire,-1,true
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
ff_damage_reduction_other,-1,0.4
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
ff_damage_reduction_other,-1,0.4
sv_bhop_time_window,-1,0.007812
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
ff_damage_reduction_other,-1,0.4
sv_bhop_time_window,-1,0.007812
mp_halftime,-1,true
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
ff_damage_reduction_other,-1,0.4
sv_bhop_time_window,-1,0.007812
mp_halftime,-1,true
mp_randomspawn_los,-1,false
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
ff_damage_reduction_other,-1,0.4
sv_bhop_time_window,-1,0.007812
mp_halftime,-1,true
mp_randomspawn_los,-1,false
sv_grenade_trajectory_time_spectator,-1,4
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
ff_damage_reduction_other,-1,0.4
sv_bhop_time_window,-1,0.007812
mp_halftime,-1,true
mp_randomspawn_los,-1,false
sv_grenade_trajectory_time_spectator,-1,4
sv_deadtalk,-1,true
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
ff_damage_reduction_other,-1,0.4
sv_bhop_time_window,-1,0.007812
mp_halftime,-1,true
mp_randomspawn_los,-1,false
sv_grenade_trajectory_time_spectator,-1,4
sv_deadtalk,-1,true
mp_roundtime,-1,1.92
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
ff_damage_reduction_other,-1,0.4
sv_bhop_time_window,-1,0.007812
mp_halftime,-1,true
mp_randomspawn_los,-1,false
sv_grenade_trajectory_time_spectator,-1,4
sv_deadtalk,-1,true
mp_roundtime,-1,1.92
mp_roundtime_hostage,-1,1.92
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
ff_damage_reduction_other,-1,0.4
sv_bhop_time_window,-1,0.007812
mp_halftime,-1,true
mp_randomspawn_los,-1,false
sv_grenade_trajectory_time_spectator,-1,4
sv_deadtalk,-1,true
