def_index,item_id,paint_index,paint_seed,paint_wear,custom_name,steamid
33,50785472842,1386,634,1044987635,,76561198171814417
61,49634364697,817,944,1047362509,,76561198049602148
16,51533176826,1281,987,1033007242,,76561198002613044
516,27629803884,175,773,1051047629,,76561198002613044
25,50783593687,1174,283,1036820085,,76561198274174345
518,47421808929,42,723,1035306858,,76561199052717313
518,47421808929,42,723,1035306858,,76561199052717313
4778,51110944202,0,,,,76561199433997570
9,51434300216,718,532,1053679031,,76561199433997570
30,50445276325,1279,894,1050679767,,76561199256543526
4728,43201041446,0,,,,76561199826895670
5031,47441226360,10069,392,1051630766,,76561199826895670
518,47377859190,59,772,1032991393,,76561199826895670
518,47377859190,59,772,1032991393,,76561199826895670
19,46835412569,124,308,1050368396,,76561199557907229
7,51295890913,1283,396,1050186761,,76561199068251294
