grenade_type,grenade_entity_id,x,y,z,tick,steamid,name
CHEGrenadeProjectile,324,-1186.0,2530.3438,113.34375,142748,76561199068251294,prosto bo$$
CFlashbang,326,,,,142748,76561199826895670,RME | Пацан
CHEGrenadeProjectile,324,-1186.0,2530.3438,113.34375,142749,76561199068251294,prosto bo$$
CFlashbang,326,,,,142749,76561199826895670,RME | Пацан
CHEGrenadeProjectile,324,-1186.0,2530.3438,113.34375,142750,76561199068251294,prosto bo$$
CFlashbang,326,,,,142750,76561199826895670,RME | Пацан
CHEGrenadeProjectile,324,-1186.0,2530.3438,113.34375,142751,76561199068251294,prosto bo$$
CFlashbang,326,,,,142751,76561199826895670,RME | Пацан
CHEGrenadeProjectile,324,-1186.0,2530.3438,113.34375,142752,76561199068251294,prosto bo$$
CFlashbang,326,,,,142752,76561199826895670,RME | Пацан
CHEGrenadeProjectile,324,-1186.0,2530.3438,113.34375,142753,76561199068251294,prosto bo$$
CFlashbang,326,,,,142753,76561199826895670,RME | Пацан
CHEGrenadeProjectile,324,-1186.0,2530.3438,113.34375,142754,76561199068251294,prosto bo$$
CFlashbang,326,,,,142754,76561199826895670,RME | Пацан
CHEGrenadeProjectile,324,-1186.0,2530.3438,113.34375,142755,76561199068251294,prosto bo$$
CFlashbang,326,,,,142755,76561199826895670,RME | Пацан
CHEGrenadeProjectile,324,-1186.0,2530.3438,113.34375,142756,76561199068251294,prosto bo$$
CFlashbang,326,,,,142756,76561199826895670,RME | Пацан
CHEGrenadeProjectile,324,-1186.0,2530.3438,113.34375,142757,76561199068251294,prosto bo$$
CFlashbang,326,,,,142757,76561199826895670,RME | Пацан
CHEGrenadeProjectile,324,-1186.0,2530.3438,113.34375,142758,76561199068251294,prosto bo$$
CFlashbang,326,,,,142758,76561199826895670,RME | Пацан
CHEGrenadeProjectile,324,-1186.0,2530.3438,113.34375,142759,76561199068251294,prosto bo$$
CFlashbang,326,,,,142759,76561199826895670,RME | Пацан
CFlashbang,326,,,,142760,76561199826895670,RME | Пацан
CFlashbang,326,,,,142761,76561199826895670,RME | Пацан
CFlashbang,326,,,,142762,76561199826895670,RME | Пацан
CFlashbang,326,,,,142763,76561199826895670,RME | Пацан
CFlashbang,326,,,,142764,76561199826895670,RME | Пацан
CFlashbang,326,,,,142765,76561199826895670,RME | Пацан
CFlashbang,326,,,,142766,76561199826895670,RME | Пацан
CFlashbang,326,,,,142767,76561199826895670,RME | Пацан
CFlashbang,326,,,,142768,76561199826895670,RME | Пацан
CFlashbang,326,,,,142769,76561199826895670,RME | Пацан
CFlashbang,326,,,,142770,76561199826895670,RME | Пацан
CFlashbang,326,,,,142771,76561199826895670,RME | Пацан
CFlashbang,326,,,,142772,76561199826895670,RME | Пацан
CFlashbang,326,,,,142773,76561199826895670,RME | Пацан
CFlashbang,326,,,,142774,76561199826895670,RME | Пацан
CFlashbang,326,,,,142775,76561199826895670,RME | Пацан
CFlashbang,326,,,,142776,76561199826895670,RME | Пацан
CFlashbang,326,,,,142777,76561199826895670,RME | Пацан
CFlashbang,326,,,,142778,76561199826895670,RME | Пацан
CFlashbang,326,,,,142779,76561199826895670,RME | Пацан
CFlashbang,326,,,,142780,76561199826895670,RME | Пацан
CFlashbang,326,,,,142781,76561199826895670,RME | Пацан
CFlashbang,326,,,,142782,76561199826895670,RME | Пацан
CFlashbang,326,,,,142783,76561199826895670,RME | Пацан
CFlashbang,326,,,,142784,76561199826895670,RME | Пацан
CFlashbang,326,,,,142785,76561199826895670,RME | Пацан
CFlashbang,326,,,,142786,76561199826895670,RME | Пацан
CFlashbang,326,,,,142787,76561199826895670,RME | Пацан
CFlashbang,326,,,,142788,76561199826895670,RME | Пацан
CFlashbang,326,,,,142789,76561199826895670,RME | Пацан
CFlashbang,326,,,,142790,76561199826895670,RME | Пацан
CFlashbang,326,,,,142791,76561199826895670,RME | Пацан
CFlashbang,326,,,,142792,76561199826895670,RME | Пацан
CFlashbang,326,,,,142793,76561199826895670,RME | Пацан
CFlashbang,326,,,,142794,76561199826895670,RME | Пацан
CFlashbang,326,,,,142795,76561199826895670,RME | Пацан
CFlashbang,326,,,,142796,76561199826895670,RME | Пацан
CFlashbang,326,,,,142797,76561199826895670,RME | Пацан
CFlashbang,326,,,,142798,76561199826895670,RME | Пацан
CFlashbang,326,,,,142799,76561199826895670,RME | Пацан
CFlashbang,326,,,,142800,76561199826895670,RME | Пацан
CFlashbang,326,,,,142801,76561199826895670,RME | Пацан
CFlashbang,326,,,,142802,76561199826895670,RME | Пацан
CFlashbang,326,,,,142803,76561199826895670,RME | Пацан
CFlashbang,326,,,,142804,76561199826895670,RME | Пацан
CFlashbang,326,,,,142805,76561199826895670,RME | Пацан
CFlashbang,326,,,,142806,76561199826895670,RME | Пацан
CFlashbang,326,,,,142807,76561199826895670,RME | Пацан
CFlashbang,326,,,,142808,76561199826895670,RME | Пацан
CFlashbang,326,,,,142809,76561199826895670,RME | Пацан
CFlashbang,326,,,,142810,76561199826895670,RME | Пацан
CFlashbang,326,,,,142811,76561199826895670,RME | Пацан
CFlashbang,326,,,,142812,76561199826895670,RME | Пацан
CFlashbang,326,,,,142813,76561199826895670,RME | Пацан
CFlashbang,326,,,,142814,76561199826895670,RME | Пацан
CFlashbang,326,,,,142815,76561199826895670,RME | Пацан
CFlashbang,326,,,,142816,76561199826895670,RME | Пацан
CFlashbang,326,,,,142817,76561199826895670,RME | Пацан
CFlashbang,326,,,,142818,76561199826895670,RME | Пацан
CFlashbang,326,,,,142819,76561199826895670,RME | Пацан
CFlashbang,326,,,,142820,76561199826895670,RME | Пацан
CFlashbang,326,,,,142821,76561199826895670,RME | Пацан
CFlashbang,326,,,,142822,76561199826895670,RME | Пацан
CFlashbang,326,,,,142823,76561199826895670,RME | Пацан
CFlashbang,326,,,,142824,76561199826895670,RME | Пацан
CFlashbang,326,,,,142825,76561199826895670,RME | Пацан
CFlashbang,326,,,,142826,76561199826895670,RME | Пацан
CFlashbang,326,,,,142827,76561199826895670,RME | Пацан
CFlashbang,326,,,,142828,76561199826895670,RME | Пацан
CFlashbang,326,,,,142829,76561199826895670,RME | Пацан
CFlashbang,326,,,,142830,76561199826895670,RME | Пацан
CFlashbang,326,,,,142831,76561199826895670,RME | Пацан
CFlashbang,326,,,,142832,76561199826895670,RME | Пацан
CFlashbang,326,,,,142833,76561199826895670,RME | Пацан
CFlashbang,326,,,,142834,76561199826895670,RME | Пацан
CFlashbang,326,,,,142835,76561199826895670,RME | Пацан
CFlashbang,326,,,,142836,76561199826895670,RME | Пацан
CFlashbang,326,,,,142837,76561199826895670,RME | Пацан
CFlashbang,326,,,,142838,76561199826895670,RME | Пацан
CFlashbang,326,,,,142839,76561199826895670,RME | Пацан
CFlashbang,326,,,,142840,76561199826895670,RME | Пацан
CFlashbang,326,,,,142841,76561199826895670,RME | Пацан
CFlashbang,326,,,,142842,76561199826895670,RME | Пацан
CFlashbang,326,,,,142843,76561199826895670,RME | Пацан
CFlashbang,326,,,,142844,76561199826895670,RME | Пацан
CFlashbang,326,,,,142845,76561199826895670,RME | Пацан
CFlashbang,326,,,,142846,76561199826895670,RME | Пацан
CFlashbang,326,,,,142847,76561199826895670,RME | Пацан
CFlashbang,326,,,,142848,76561199826895670,RME | Пацан
CFlashbang,326,,,,142849,76561199826895670,RME | Пацан
CFlashbang,326,,,,142850,76561199826895670,RME | Пацан
CFlashbang,326,,,,142851,76561199826895670,RME | Пацан
CFlashbang,326,,,,142852,76561199826895670,RME | Пацан
