total_rounds_played,cash_spent_this_round,kills_total,deaths_total,assists_total,score,mvps,tick,steamid,name
0,0,0,0,0,0,0,1,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,1,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,1,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,1,76561198274174345,zig
0,0,0,0,0,0,0,1,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,1,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,1,76561198049602148,Moon
0,11500,0,2,0,0,0,1,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,1,76561198171814417,Faat
0,2700,2,0,0,4,0,1,76561199052717313,Worfy
0,0,0,0,0,0,0,2,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,2,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,2,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,2,76561198274174345,zig
0,0,0,0,0,0,0,2,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,2,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,2,76561198049602148,Moon
0,11500,0,2,0,0,0,2,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,2,76561198171814417,Faat
0,2700,2,0,0,4,0,2,76561199052717313,Worfy
0,0,0,0,0,0,0,3,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,3,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,3,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,3,76561198274174345,zig
0,0,0,0,0,0,0,3,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,3,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,3,76561198049602148,Moon
0,11500,0,2,0,0,0,3,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,3,76561198171814417,Faat
0,2700,2,0,0,4,0,3,76561199052717313,Worfy
0,0,0,0,0,0,0,4,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,4,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,4,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,4,76561198274174345,zig
0,0,0,0,0,0,0,4,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,4,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,4,76561198049602148,Moon
0,11500,0,2,0,0,0,4,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,4,76561198171814417,Faat
0,2700,2,0,0,4,0,4,76561199052717313,Worfy
0,0,0,0,0,0,0,5,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,5,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,5,76561198002613044,frees.tyler
