usercmd_viewangle_y,usercmd_impulse,usercmd_viewangle_x,tick,steamid,name
,,,144803,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144803,76561199826895670,RME | Пацан
,,,144803,76561198002613044,frees.tyler
,,,144803,76561198274174345,zig
,,,144803,76561199433997570,Simple Dimple skins.army
,,,144803,76561199557907229,shawty#)$@
,,,144803,76561198049602148,Moon
-39.19677,0.0,2.3992703,144803,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144803,76561198171814417,Faat
165.62042,0.0,-4.5759516,144803,76561199052717313,Worfy
,,,144804,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144804,76561199826895670,RME | Пацан
,,,144804,76561198002613044,frees.tyler
,,,144804,76561198274174345,zig
,,,144804,76561199433997570,Simple Dimple skins.army
,,,144804,76561199557907229,shawty#)$@
,,,144804,76561198049602148,Moon
-39.19677,0.0,2.3992703,144804,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144804,76561198171814417,Faat
165.62042,0.0,-4.5759516,144804,76561199052717313,Worfy
,,,144805,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144805,76561199826895670,RME | Пацан
,,,144805,76561198002613044,frees.tyler
,,,144805,76561198274174345,zig
,,,144805,76561199433997570,Simple Dimple skins.army
,,,144805,76561199557907229,shawty#)$@
,,,144805,76561198049602148,Moon
-39.19677,0.0,2.3992703,144805,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144805,76561198171814417,Faat
165.62042,0.0,-4.5759516,144805,76561199052717313,Worfy
,,,144806,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144806,76561199826895670,RME | Пацан
,,,144806,76561198002613044,frees.tyler
,,,144806,76561198274174345,zig
,,,144806,76561199433997570,Simple Dimple skins.army
,,,144806,76561199557907229,shawty#)$@
,,,144806,76561198049602148,Moon
-39.19677,0.0,2.3992703,144806,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144806,76561198171814417,Faat
165.62042,0.0,-4.5759516,144806,76561199052717313,Worfy
,,,144807,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144807,76561199826895670,RME | Пацан
,,,144807,76561198002613044,frees.tyler
,,,144807,76561198274174345,zig
,,,144807,76561199433997570,Simple Dimple skins.army
,,,144807,76561199557907229,shawty#)$@
,,,144807,76561198049602148,Moon
-39.19677,0.0,2.3992703,144807,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144807,76561198171814417,Faat
165.62042,0.0,-4.5759516,144807,76561199052717313,Worfy
,,,144808,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144808,76561199826895670,RME | Пацан
,,,144808,76561198002613044,frees.tyler
,,,144808,76561198274174345,zig
,,,144808,76561199433997570,Simple Dimple skins.army
,,,144808,76561199557907229,shawty#)$@
,,,144808,76561198049602148,Moon
-39.19677,0.0,2.3992703,144808,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144808,76561198171814417,Faat
165.62042,0.0,-4.5759516,144808,76561199052717313,Worfy
,,,144809,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144809,76561199826895670,RME | Пацан
,,,144809,76561198002613044,frees.tyler
,,,144809,76561198274174345,zig
,,,144809,76561199433997570,Simple Dimple skins.army
,,,144809,76561199557907229,shawty#)$@
,,,144809,76561198049602148,Moon
-39.19677,0.0,2.3992703,144809,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144809,76561198171814417,Faat
165.62042,0.0,-4.5759516,144809,76561199052717313,Worfy
,,,144810,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144810,76561199826895670,RME | Пацан
,,,144810,76561198002613044,frees.tyler
,,,144810,76561198274174345,zig
,,,144810,76561199433997570,Simple Dimple skins.army
,,,144810,76561199557907229,shawty#)$@
,,,144810,76561198049602148,Moon
-39.19677,0.0,2.3992703,144810,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144810,76561198171814417,Faat
165.62042,0.0,-4.5759516,144810,76561199052717313,Worfy
,,,144811,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144811,76561199826895670,RME | Пацан
,,,144811,76561198002613044,frees.tyler
,,,144811,76561198274174345,zig
,,,144811,76561199433997570,Simple Dimple skins.army
,,,144811,76561199557907229,shawty#)$@
,,,144811,76561198049602148,Moon
-39.19677,0.0,2.3992703,144811,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144811,76561198171814417,Faat
165.62042,0.0,-4.5759516,144811,76561199052717313,Worfy
,,,144812,76561199256543526,Wybaczam.oficjalnie skins.army
-86.402016,0.0,5.767415,144812,76561199826895670,RME | Пацан
,,,144812,76561198002613044,frees.tyler
,,,144812,76561198274174345,zig
,,,144812,76561199433997570,Simple Dimple skins.army
,,,144812,76561199557907229,shawty#)$@
,,,144812,76561198049602148,Moon
-39.19677,0.0,2.3992703,144812,76561199068251294,prosto bo$$
93.55712,0.0,4.0413857,144812,76561198171814417,Faat
165.62042,0.0,-4.5759516,144812,76561199052717313,Worfy
,,,144813,76561199256543526,Wybaczam.oficjalnie skins.army
