velocity_X,Y,agent_skin,velocity_Z,X,pitch,yaw,Z,velocity_Y,tick,steamid,name
,2439.0117,customplayer_ct_map_based,,182.24991,-4.4731445,-9.340088,-120.96875,,1,76561199256543526,Wybaczam.oficjalnie skins.army
,2010.0741,customplayer_ctm_st6_variantg,,-57.90918,-0.48098755,172.78506,-121.4375,,1,76561199826895670,RME | Пацан
,-808.0,customplayer_t_map_based,,-1015.0,0.0,-177.00005,116.08262,,1,76561198002613044,frees.tyler
,309.48615,customplayer_t_map_based,,-320.05115,4.7279053,96.050385,1.7562447,,1,76561198274174345,zig
,2433.7336,customplayer_ct_map_based,,334.36874,0.0,-129.99985,-120.36255,,1,76561199433997570,Simple Dimple skins.army
,2191.7769,customplayer_ct_map_based,,83.624,1.4309692,-156.7526,-124.53638,,1,76561199557907229,shawty#)$@
,1929.3073,customplayer_t_map_based,,485.05692,88.99991,55.71785,151.8125,,1,76561198049602148,Moon
,2343.9158,customplayer_ct_map_based,,353.87573,-0.2770691,-154.682,-120.157715,,1,76561199068251294,prosto bo$$
,-470.3335,customplayer_t_map_based,,-250.9367,9.748657,159.74017,9.03125,,1,76561198171814417,Faat
,1917.5593,customplayer_t_map_based,,-529.78925,1.4433289,23.894577,-119.98871,,1,76561199052717313,Worfy
,2439.0117,customplayer_ct_map_based,,182.24991,-4.4731445,-9.340088,-120.96875,,2,76561199256543526,Wybaczam.oficjalnie skins.army
,2010.0741,customplayer_ctm_st6_variantg,,-57.90918,-0.48098755,172.78506,-121.4375,,2,76561199826895670,RME | Пацан
,-808.0,customplayer_t_map_based,,-1015.0,0.0,-177.00005,116.08262,,2,76561198002613044,frees.tyler
,309.48615,customplayer_t_map_based,,-320.05115,4.7279053,96.050385,1.7562447,,2,76561198274174345,zig
,2433.7336,customplayer_ct_map_based,,334.36874,0.0,-129.99985,-120.36255,,2,76561199433997570,Simple Dimple skins.army
,2191.7769,customplayer_ct_map_based,,83.624,1.4309692,-156.7526,-124.53638,,2,76561199557907229,shawty#)$@
